x,y,r (pixel),is_circle,r (um)
80,554,49,yes,49
506,588,71,no,71
778,266,71,no,71
650,304,74,no,74
176,600,73,no,73
696,608,37,yes,37
342,484,70,no,70
294,614,54,no,54
408,198,56,no,56
290,336,51,no,51
390,352,64,no,64
126,456,61,no,61
534,58,59,no,59
90,154,63,no,63
628,186,60,no,60
412,432,53,no,53
546,256,47,yes,47
756,496,54,no,54
630,320,46,yes,46
778,182,60,no,60
520,348,57,no,57
456,266,49,yes,49
778,354,34,yes,34
500,140,34,yes,34
556,178,32,yes,32
74,278,63,no,63
646,430,59,no,59
172,380,40,no,40
752,592,48,no,48
742,272,57,no,57
716,72,49,no,49
382,84,48,yes,48
578,498,48,no,48
162,306,45,no,45
234,160,28,yes,28
714,142,50,no,50
186,92,47,no,47
292,78,44,yes,44
682,508,40,no,40
798,188,34,yes,34
814,548,28,yes,28
472,510,46,no,46
194,208,35,yes,35
458,84,34,yes,34
280,204,46,no,46
268,186,44,no,44
698,528,44,no,44
338,504,41,no,41
232,290,36,no,36
180,400,46,no,46
500,200,29,yes,29
318,548,26,yes,26
206,86,46,no,46
212,514,41,no,41
170,224,44,no,44
658,108,40,yes,40
604,124,34,yes,34
580,374,25,yes,25
634,492,22,yes,22
498,334,51,yes,51
586,556,47,no,47
62,424,46,no,46
432,134,44,no,44
694,348,37,no,37
726,422,37,no,37
316,260,34,yes,34
644,548,32,yes,32
376,220,44,no,44
678,248,42,no,42
104,54,39,yes,39
270,416,36,no,36
544,498,40,no,40
802,652,32,no,32
116,230,28,yes,28
338,148,26,no,26
54,538,44,no,44
640,640,28,yes,28
194,252,27,no,27
814,116,24,no,24
704,452,21,yes,21
334,208,17,yes,17
448,244,40,no,40
764,576,27,no,27
364,580,23,yes,23
616,250,22,yes,22
530,398,26,yes,26
820,70,20,yes,20
132,104,17,yes,17
328,434,32,no,32
288,426,34,no,34
126,412,30,no,30
494,572,39,no,39
764,444,32,no,32
120,356,21,yes,21
276,128,20,yes,20
390,514,20,yes,20
78,464,17,yes,17
710,230,16,yes,16
306,362,29,no,29
148,168,28,no,28
560,72,27,no,27
572,618,28,no,28
458,190,26,no,26
790,132,22,no,22
240,236,22,yes,22
744,202,21,yes,21
616,594,16,yes,16
394,274,26,yes,26
70,204,25,yes,25
46,48,21,yes,21
558,442,20,yes,20
606,74,17,yes,17
816,498,17,yes,17
524,606,29,no,29
434,160,34,no,34
374,632,21,yes,21
324,386,20,yes,20
664,44,20,no,20
174,504,19,yes,19
714,344,30,no,30
760,60,28,no,28
434,46,21,no,21
506,636,20,yes,20
298,456,20,yes,20
756,522,31,no,31
172,642,28,no,28
70,348,22,yes,22
726,554,20,yes,20
566,322,18,no,18
564,248,22,no,22
634,46,20,yes,20
222,644,14,yes,14
210,340,25,yes,25
690,296,19,yes,19
422,540,29,no,29
274,526,24,yes,24
64,398,22,no,22
134,614,26,no,26
666,172,25,no,25
224,366,24,no,24
230,426,24,yes,24
586,416,18,yes,18
234,598,18,yes,18
664,472,17,yes,17
246,108,17,yes,17
418,458,29,no,29
598,464,22,yes,22
672,410,22,no,22
804,412,19,yes,19
592,44,16,yes,16
394,160,12,yes,12
182,574,24,no,24
210,470,21,yes,21
112,192,20,yes,20
186,152,14,yes,14
824,250,23,no,23
388,14,20,yes,20
362,542,20,yes,20
390,554,16,yes,16
730,474,15,yes,15
706,506,22,no,22
130,268,16,yes,16
