x,y,r (pixel),is_circle,r (um)
354,266,65,yes,191.75
416,174,46,yes,135.70000000000002
74,428,69,yes,203.55
762,204,72,yes,212.4
628,72,62,yes,182.9
286,78,58,yes,171.10000000000002
268,360,60,yes,177.0
550,324,61,yes,179.95000000000002
346,452,54,yes,159.3
758,632,50,yes,147.5
228,188,66,yes,194.70000000000002
256,518,59,yes,174.05
334,284,95,no,280.25
222,210,91,no,268.45
462,242,41,yes,120.95
544,224,40,yes,118.0
758,68,66,yes,194.70000000000002
204,176,99,no,292.05
240,358,95,no,280.25
232,494,99,no,292.05
658,542,66,yes,194.70000000000002
282,622,52,yes,153.4
188,288,43,yes,126.85000000000001
506,144,50,yes,147.5
526,322,97,no,286.15000000000003
444,334,44,yes,129.8
174,370,47,yes,138.65
364,286,84,no,247.8
578,326,80,no,236.0
80,90,77,no,227.15
560,606,60,yes,177.0
638,242,56,yes,165.20000000000002
262,380,76,no,224.20000000000002
568,352,94,no,277.3
96,426,85,no,250.75000000000003
708,340,75,no,221.25
192,44,43,yes,126.85000000000001
674,522,92,no,271.40000000000003
540,600,84,no,247.8
734,360,46,yes,135.70000000000002
244,202,80,no,236.0
246,176,76,no,224.20000000000002
628,272,88,no,259.6
328,238,85,no,250.75000000000003
562,306,78,no,230.10000000000002
284,348,60,no,177.0
118,80,78,no,230.10000000000002
360,542,44,yes,129.8
672,156,35,yes,103.25
448,590,55,yes,162.25
490,416,51,yes,150.45000000000002
34,252,58,yes,171.10000000000002
478,442,78,no,230.10000000000002
438,100,32,yes,94.4
220,510,86,no,253.70000000000002
284,374,70,no,206.5
774,442,41,yes,120.95
512,510,43,yes,126.85000000000001
114,316,41,yes,120.95
166,478,40,yes,118.0
148,538,30,yes,88.5
646,92,88,no,259.6
654,254,75,no,221.25
584,458,47,yes,138.65
332,166,39,yes,115.05000000000001
540,72,31,yes,91.45
324,444,64,no,188.8
86,70,63,no,185.85000000000002
644,410,56,yes,165.20000000000002
720,286,35,yes,103.25
594,426,66,no,194.70000000000002
786,302,33,yes,97.35000000000001
752,222,91,no,268.45
772,222,88,no,259.6
612,88,81,no,238.95000000000002
130,160,36,yes,106.2
372,106,36,yes,106.2
304,68,80,no,236.0
262,500,72,no,212.4
100,594,64,no,188.8
170,266,62,no,182.9
426,318,62,no,182.9
174,566,72,no,212.4
702,434,46,yes,135.70000000000002
460,220,48,no,141.60000000000002
588,160,36,yes,106.2
434,576,65,no,191.75
222,430,34,yes,100.30000000000001
366,446,70,no,206.5
194,584,36,yes,106.2
540,344,83,no,244.85000000000002
262,338,70,no,206.5
262,618,65,no,191.75
608,64,62,no,182.9
422,486,53,no,156.35000000000002
378,422,70,no,206.5
54,160,38,yes,112.10000000000001
274,60,61,yes,179.95000000000002
818,122,32,yes,94.4
274,602,64,no,188.8
514,412,74,no,218.3
742,52,64,no,188.8
610,380,33,yes,97.35000000000001
372,252,66,no,194.70000000000002
540,304,62,no,182.9
480,230,56,no,165.20000000000002
666,338,43,no,126.85000000000001
372,364,39,yes,115.05000000000001
276,518,64,no,188.8
574,436,50,no,147.5
270,272,38,no,112.10000000000001
462,544,62,no,182.9
622,230,60,no,177.0
186,346,51,no,150.45000000000002
198,270,44,no,129.8
750,182,65,no,191.75
124,182,48,no,141.60000000000002
154,222,32,yes,94.4
160,338,54,no,159.3
112,294,51,no,150.45000000000002
118,616,44,no,129.8
452,312,51,no,150.45000000000002
366,340,51,no,150.45000000000002
814,368,43,yes,126.85000000000001
484,60,29,yes,85.55000000000001
116,580,48,no,141.60000000000002
404,156,44,no,129.8
168,104,38,no,112.10000000000001
82,524,37,yes,109.15
488,134,58,no,171.10000000000002
266,200,54,no,159.3
344,430,40,no,118.0
734,628,56,no,165.20000000000002
228,164,55,no,162.25
294,606,52,no,153.4
352,600,23,yes,67.85000000000001
646,224,56,no,165.20000000000002
334,258,47,no,138.65
562,586,57,no,168.15
640,336,43,no,126.85000000000001
532,204,38,no,112.10000000000001
418,400,34,no,100.30000000000001
488,160,46,no,135.70000000000002
102,212,24,yes,70.80000000000001
646,430,40,no,118.0
632,376,38,no,112.10000000000001
210,406,36,no,106.2
730,390,32,no,94.4
44,568,25,yes,73.75
522,130,39,no,115.05000000000001
384,520,38,no,112.10000000000001
164,458,29,no,85.55000000000001
662,390,33,no,97.35000000000001
122,136,32,no,94.4
94,332,21,no,61.95
150,174,34,no,100.30000000000001
118,240,34,no,100.30000000000001
558,388,23,yes,67.85000000000001
90,188,25,no,73.75
166,390,24,no,70.80000000000001
412,458,32,no,94.4
672,424,17,no,50.150000000000006
432,162,36,no,106.2
438,472,29,no,85.55000000000001
302,94,36,no,106.2
522,224,31,no,91.45
576,416,31,no,91.45
308,562,25,no,73.75
572,476,27,no,79.65
