x,y,r (pixel),is_circle,r (um)
546,296,85,yes,85
358,334,96,yes,96
700,160,110,yes,110
170,398,93,yes,93
726,390,105,yes,105
302,138,109,yes,109
220,564,82,yes,82
26,530,106,yes,106
506,488,104,yes,104
682,592,89,yes,89
484,150,73,yes,73
682,172,120,no,120
432,606,43,yes,43
224,256,56,yes,56
318,124,108,no,108
564,48,70,yes,70
720,170,130,no,130
38,262,98,yes,98
682,152,140,no,140
380,320,121,no,121
490,500,105,no,105
348,488,58,yes,58
718,148,131,no,131
348,352,109,no,109
486,480,112,no,112
114,30,108,yes,108
198,402,114,no,114
722,410,103,no,103
230,586,108,no,108
208,546,103,no,103
346,316,118,no,118
380,344,118,no,118
46,532,84,no,84
536,646,58,yes,58
628,476,42,yes,42
346,668,73,yes,73
486,458,70,no,70
322,572,29,yes,29
