x,y,r (pixel),is_circle,r (um)
682,482,129,no,129
278,178,96,yes,96
332,464,137,no,137
668,498,150,yes,150
696,466,139,no,139
284,486,96,no,96
704,442,158,no,158
332,438,155,no,155
694,498,151,no,151
340,408,177,no,177
348,342,56,yes,56
308,476,111,no,111
454,262,87,yes,87
436,88,65,yes,65
242,188,130,no,130
660,518,170,no,170
312,420,159,no,159
726,444,171,no,171
762,136,111,yes,111
252,316,46,yes,46
352,454,159,no,159
54,220,107,yes,107
280,510,126,yes,126
264,194,113,no,113
638,272,51,yes,51
296,198,118,no,118
164,376,61,yes,61
298,172,105,no,105
252,500,142,no,142
150,52,89,no,89
472,244,84,no,84
314,456,127,no,127
584,170,56,yes,56
738,310,56,yes,56
712,422,174,no,174
464,280,112,no,112
664,470,123,no,123
716,476,143,no,143
282,466,111,no,111
114,594,71,yes,71
276,530,141,no,141
562,342,54,yes,54
676,544,114,no,114
302,498,98,no,98
490,420,55,yes,55
574,40,83,yes,83
314,140,139,no,139
480,648,101,no,101
452,420,88,no,88
654,260,55,no,55
434,498,56,no,56
590,22,80,no,80
484,214,114,no,114
454,234,78,no,78
180,270,46,yes,46
782,144,124,no,124
690,528,89,no,89
364,324,54,no,54
340,488,111,no,111
494,156,28,yes,28
714,514,101,no,101
180,358,55,no,55
576,328,54,no,54
262,480,89,no,89
470,408,83,no,83
276,20,60,yes,60
66,194,89,no,89
434,236,81,no,81
636,520,75,no,75
396,412,43,yes,43
464,622,71,no,71
312,518,80,no,80
262,164,70,no,70
648,488,91,no,91
738,474,111,no,111
564,176,68,no,68
418,516,40,no,40
646,540,67,no,67
522,516,41,yes,41
90,248,63,no,63
610,656,27,yes,27
238,68,17,yes,17
334,522,74,no,74
148,132,19,yes,19
