x,y,r (pixel),is_circle,r (um)
612,518,138,yes,107.64
442,336,103,yes,80.34
204,300,135,yes,105.3
648,220,117,yes,91.26
210,32,125,yes,97.5
438,118,103,yes,80.34
14,494,137,yes,106.86
836,372,122,yes,95.16
182,278,165,no,128.70000000000002
636,246,140,no,109.2
634,530,154,no,120.12
630,210,126,no,98.28
216,282,142,no,110.76
620,500,118,no,92.04
40,100,46,yes,35.88
224,318,154,no,120.12
184,312,156,no,121.68
436,142,127,no,99.06
464,338,123,no,95.94
596,504,159,no,124.02000000000001
452,318,115,no,89.7
462,106,141,no,109.98
26,478,116,no,90.48
660,202,137,no,106.86
588,522,153,no,119.34
640,480,166,no,129.48000000000002
466,86,144,no,112.32000000000001
438,358,99,no,77.22
638,510,161,no,125.58
430,308,133,no,103.74000000000001
604,544,161,no,125.58
418,134,136,no,106.08
236,262,169,no,131.82
484,298,159,no,124.02000000000001
422,336,122,no,95.16
222,50,125,no,97.5
436,380,147,no,114.66000000000001
668,220,98,no,76.44
624,190,83,no,64.74000000000001
230,336,94,no,73.32000000000001
108,140,26,yes,20.28
620,260,82,no,63.96
850,520,29,yes,22.62
520,234,30,no,23.400000000000002
408,578,14,yes,10.92
346,260,16,yes,12.48
156,268,77,no,60.06
