x,y,r (pixel),is_circle,r (um)
722,320,117,yes,176.67
176,132,106,yes,160.06
382,178,94,yes,141.94
366,374,106,yes,160.06
302,604,123,yes,185.73
154,134,132,no,199.32
550,216,78,yes,117.78
706,290,114,no,172.14000000000001
164,116,114,no,172.14000000000001
576,602,131,yes,197.81
78,322,90,yes,135.9
726,294,126,no,190.26
200,430,79,yes,119.29
230,296,58,yes,87.58
744,318,130,no,196.3
300,578,126,no,190.26
372,156,93,no,140.43
344,364,118,no,178.18
168,152,126,no,190.26
690,328,144,no,217.44
520,50,99,yes,149.49
674,140,64,yes,96.64
322,580,144,no,217.44
834,136,99,yes,149.49
182,420,98,no,147.98
364,350,101,no,152.51
738,492,80,yes,120.8
326,16,78,yes,117.78
692,306,136,no,205.36
280,602,141,no,212.91
710,340,141,no,212.91
200,408,79,no,119.29
532,198,87,no,131.37
324,602,146,no,220.46
64,550,102,yes,154.02
66,302,94,no,141.94
146,152,147,no,221.97
354,142,114,no,172.14000000000001
724,472,73,no,110.23
394,348,133,no,200.83
304,548,122,no,184.22
88,302,89,no,134.39000000000001
352,390,86,no,129.86
394,158,98,no,147.98
188,154,136,no,205.36
370,194,76,no,114.76
504,36,110,no,166.1
514,356,83,no,125.33
196,126,86,no,129.86
746,470,72,no,108.72
360,172,82,no,123.82000000000001
682,90,67,no,101.17
534,378,63,no,95.13
736,338,66,no,99.66
262,570,73,no,110.23
530,228,61,no,92.11
