x,y,r (pixel),is_circle,r (um)
256,444,63,yes,63
610,156,56,yes,56
148,424,47,yes,47
320,158,59,yes,59
108,220,56,yes,56
202,340,53,yes,53
808,196,66,yes,66
642,358,54,yes,54
442,236,59,yes,59
398,334,49,yes,49
54,390,53,yes,53
474,468,38,yes,38
300,334,46,yes,46
620,244,41,yes,41
262,578,51,yes,51
710,532,61,yes,61
798,68,45,yes,45
508,130,51,yes,51
622,458,48,yes,48
260,80,41,yes,41
252,244,57,yes,57
110,622,52,yes,52
74,532,51,yes,51
538,244,41,yes,41
706,164,41,yes,41
492,322,53,yes,53
390,424,39,yes,39
646,58,47,yes,47
720,88,33,yes,33
790,428,42,yes,42
534,412,50,yes,50
346,256,39,yes,39
230,152,37,yes,37
774,608,40,yes,40
602,606,39,yes,39
188,518,57,no,57
380,570,38,yes,38
332,508,40,yes,40
686,638,48,yes,48
708,428,40,yes,40
164,516,67,no,67
464,560,49,yes,49
560,524,53,no,53
768,348,44,no,44
812,536,39,yes,39
708,254,49,yes,49
190,98,34,yes,34
254,424,67,no,67
458,388,36,yes,36
578,306,34,yes,34
412,90,51,no,51
110,116,45,yes,45
402,654,49,yes,49
418,344,73,no,73
544,506,51,no,51
32,290,44,yes,44
404,498,32,yes,32
122,48,32,yes,32
168,160,28,yes,28
242,570,68,no,68
88,614,56,no,56
618,532,37,yes,37
574,78,32,yes,32
106,296,27,yes,27
426,110,62,no,62
774,284,29,yes,29
346,74,27,yes,27
484,24,54,yes,54
184,592,30,yes,30
80,512,51,no,51
726,264,69,no,69
118,340,44,no,44
402,164,26,yes,26
24,118,46,yes,46
72,68,23,yes,23
190,22,43,yes,43
380,320,53,no,53
204,642,33,yes,33
330,616,36,yes,36
474,630,29,yes,29
242,94,41,no,41
522,600,32,yes,32
718,320,32,yes,32
174,264,26,yes,26
554,186,22,yes,22
310,22,32,yes,32
254,468,37,no,37
282,570,36,no,36
576,10,34,yes,34
88,634,36,no,36
396,106,39,no,39
84,330,22,no,22
200,320,34,no,34
690,418,27,no,27
338,446,19,yes,19
