x,y,r (pixel),is_circle,r (um)
366,416,103,yes,103
214,578,101,yes,101
418,222,87,yes,87
144,186,102,yes,102
106,360,74,yes,74
448,68,67,yes,67
308,108,74,yes,74
398,612,94,no,94
242,322,60,yes,60
218,424,46,yes,46
346,424,137,no,137
70,494,60,yes,60
294,224,46,yes,46
508,340,57,yes,57
556,126,46,yes,46
362,438,122,no,122
142,210,121,no,121
200,594,81,no,81
198,560,114,no,114
358,384,124,no,124
124,172,124,no,124
402,588,88,no,88
230,566,80,no,80
222,602,120,no,120
422,244,99,no,99
440,224,74,no,74
38,252,37,yes,37
418,608,73,yes,73
164,198,79,no,79
316,84,87,no,87
386,402,79,no,79
226,308,59,no,59
162,176,83,no,83
114,380,70,no,70
