x,y,r (pixel),is_circle,r (um)
530,304,67,yes,197.65
518,122,57,yes,168.15
310,588,54,yes,159.3
366,426,52,yes,153.4
142,272,60,no,177.0
774,146,49,yes,144.55
686,58,42,yes,123.9
214,574,43,yes,126.85000000000001
216,208,37,yes,109.15
402,578,40,yes,118.0
164,140,38,yes,112.10000000000001
282,172,37,yes,109.15
678,606,33,yes,97.35000000000001
640,166,39,yes,115.05000000000001
608,94,43,yes,126.85000000000001
130,12,28,yes,82.60000000000001
632,264,34,yes,100.30000000000001
412,30,25,yes,73.75
580,210,40,yes,118.0
726,360,36,yes,106.2
788,654,29,yes,85.55000000000001
356,516,34,yes,100.30000000000001
428,512,33,yes,97.35000000000001
560,34,32,yes,94.4
314,44,34,yes,100.30000000000001
470,656,35,yes,103.25
272,430,33,yes,97.35000000000001
508,300,84,no,247.8
116,202,30,yes,88.5
434,376,34,yes,100.30000000000001
360,310,26,yes,76.7
134,74,26,yes,76.7
202,592,62,no,182.9
246,8,36,yes,106.2
280,96,32,yes,94.4
438,272,35,yes,103.25
500,218,21,yes,61.95
214,76,34,yes,100.30000000000001
430,78,22,yes,64.9
844,278,43,yes,126.85000000000001
828,448,25,yes,73.75
360,446,60,no,177.0
336,356,30,yes,88.5
350,160,19,yes,56.050000000000004
204,98,47,no,138.65
414,184,18,yes,53.1
310,392,14,yes,41.300000000000004
406,310,22,yes,64.9
388,346,21,yes,61.95
178,650,25,yes,73.75
450,322,23,yes,67.85000000000001
66,428,16,yes,47.2
326,572,49,no,144.55
778,602,26,yes,76.7
484,180,15,yes,44.25
198,384,12,yes,35.400000000000006
316,492,16,yes,47.2
466,50,15,yes,44.25
170,12,10,yes,29.5
236,134,27,no,79.65
60,234,17,yes,50.150000000000006
438,198,9,yes,26.55
