x,y,r (pixel),is_circle,r (um)
220,460,142,yes,142
466,284,201,yes,201
704,500,128,yes,128
162,192,147,yes,147
460,598,124,no,124
678,512,155,no,155
488,284,209,no,209
508,304,237,no,237
472,264,184,no,184
180,174,173,no,173
518,280,188,no,188
148,214,123,no,123
490,314,216,no,216
152,172,144,no,144
444,612,145,yes,145
454,246,225,no,225
718,486,107,no,107
676,62,104,yes,104
492,340,243,no,243
466,306,222,no,222
502,268,170,no,170
736,506,134,no,134
196,456,153,no,153
210,186,141,no,141
686,534,164,no,164
540,310,221,no,221
234,430,106,no,106
480,238,205,no,205
468,326,243,no,243
658,510,174,no,174
132,192,164,no,164
536,270,193,no,193
202,234,205,no,205
424,618,166,no,166
138,158,162,no,162
262,474,187,no,187
240,456,162,no,162
178,206,112,no,112
490,216,228,no,228
798,258,140,yes,140
166,134,137,no,137
714,532,99,no,99
276,448,145,no,145
174,444,167,no,167
464,618,168,no,168
340,16,110,yes,110
502,248,153,no,153
516,232,218,no,218
516,330,233,no,233
756,486,161,no,161
174,154,152,no,152
198,212,152,no,152
230,510,184,no,184
202,158,158,no,158
166,466,153,no,153
694,50,124,no,124
674,492,156,no,156
256,440,143,no,143
810,276,153,no,153
232,190,161,no,161
214,486,115,no,115
114,224,153,no,153
472,580,105,no,105
398,624,191,no,191
236,486,97,no,97
174,228,93,no,93
552,290,218,no,218
698,480,142,no,142
524,252,179,no,179
432,250,161,no,161
742,526,150,no,150
210,440,132,no,132
762,508,153,no,153
192,430,154,no,154
350,36,81,no,81
126,140,138,no,138
714,38,126,no,126
194,478,128,no,128
500,614,158,no,158
222,168,136,no,136
842,250,152,no,152
482,604,148,no,148
694,78,76,no,76
148,238,116,no,116
782,246,115,no,115
816,234,141,no,141
738,476,115,no,115
430,590,93,no,93
258,412,111,no,111
658,52,88,no,88
292,474,114,no,114
110,178,104,no,104
188,248,84,no,84
368,14,108,no,108
544,252,116,no,116
548,328,101,no,101
512,370,90,no,90
802,296,88,no,88
226,412,87,no,87
318,16,94,no,94
512,596,93,no,93
668,572,84,no,84
250,502,77,no,77
718,62,65,no,65
196,124,67,no,67
404,238,69,no,69
