x,y,r (pixel),is_circle,r (um)
464,584,84,yes,84
288,508,92,yes,92
532,432,67,yes,67
274,196,50,yes,50
326,330,70,yes,70
120,400,59,yes,59
742,504,93,no,93
284,486,94,no,94
312,304,97,no,97
606,316,70,yes,70
660,418,47,yes,47
754,338,70,yes,70
228,84,64,yes,64
148,514,64,yes,64
190,286,62,yes,62
796,528,34,yes,34
122,148,60,yes,60
96,614,53,yes,53
704,524,51,yes,51
356,116,70,yes,70
514,444,81,no,81
588,638,49,yes,49
472,302,83,no,83
368,240,56,yes,56
600,530,54,yes,54
578,128,64,no,64
514,188,46,yes,46
516,414,87,no,87
168,500,74,no,74
474,274,77,no,77
118,624,65,no,65
448,346,43,yes,43
718,122,66,yes,66
442,172,44,yes,44
338,128,83,no,83
218,588,49,no,49
622,214,42,yes,42
328,644,66,yes,66
52,542,37,yes,37
144,384,87,no,87
416,460,51,yes,51
674,610,39,yes,39
308,342,71,no,71
684,404,72,no,72
104,168,78,no,78
118,510,62,no,62
162,610,49,no,49
114,592,69,no,69
784,502,55,no,55
144,146,71,no,71
738,438,31,yes,31
550,246,40,no,40
500,428,76,no,76
376,108,72,no,72
596,208,49,no,49
340,624,36,no,36
224,382,41,yes,41
386,226,60,no,60
100,234,34,no,34
778,594,31,yes,31
578,230,54,no,54
808,224,43,no,43
134,38,37,no,37
598,128,40,no,40
806,668,44,yes,44
752,196,29,yes,29
740,632,25,yes,25
488,246,24,no,24
744,40,42,no,42
394,282,31,yes,31
532,32,45,yes,45
492,184,40,yes,40
132,526,34,no,34
168,544,34,no,34
686,536,42,no,42
674,126,36,no,36
102,74,20,yes,20
618,514,31,no,31
682,160,32,no,32
412,340,33,no,33
158,480,27,no,27
726,586,23,yes,23
806,462,18,no,18
728,140,38,no,38
176,264,37,no,37
260,180,37,no,37
650,476,23,no,23
282,70,27,no,27
196,458,18,yes,18
782,478,17,yes,17
502,272,15,yes,15
112,536,28,no,28
584,326,42,no,42
278,216,34,no,34
330,82,27,no,27
710,184,14,yes,14
488,142,14,yes,14
294,190,12,no,12
86,40,12,yes,12
