x,y,r (pixel),is_circle,r (um)
308,182,73,yes,73
272,382,58,yes,58
334,52,60,yes,60
676,106,57,yes,57
94,342,62,yes,62
576,194,66,yes,66
436,108,54,yes,54
214,110,44,yes,44
670,324,63,yes,63
474,392,61,yes,61
398,292,59,yes,59
204,280,63,yes,63
706,214,48,yes,48
164,458,74,yes,74
824,362,50,yes,50
368,436,52,yes,52
448,508,54,yes,54
786,162,38,yes,38
560,314,51,yes,51
302,288,37,yes,37
492,248,34,yes,34
286,494,60,no,60
560,72,59,yes,59
552,180,89,no,89
608,446,77,yes,77
290,194,89,no,89
724,538,81,yes,81
708,516,107,no,107
220,266,70,no,70
154,178,54,yes,54
408,198,36,yes,36
532,590,60,yes,60
294,388,76,no,76
186,582,56,yes,56
630,606,45,yes,45
478,304,26,yes,26
118,246,23,yes,23
800,256,48,yes,48
788,94,32,yes,32
322,164,90,no,90
382,304,78,no,78
648,176,22,yes,22
364,568,52,yes,52
662,126,81,no,81
76,62,80,yes,80
690,124,75,no,75
580,76,71,no,71
426,276,82,no,82
290,168,90,no,90
234,96,60,no,60
742,408,54,yes,54
658,14,31,yes,31
184,358,30,yes,30
280,588,35,yes,35
594,536,34,yes,34
692,320,75,no,75
110,328,68,no,68
494,390,68,no,68
754,318,25,yes,25
210,16,56,yes,56
354,356,27,yes,27
306,502,70,no,70
448,486,68,no,68
500,112,19,yes,19
594,432,51,no,51
470,510,56,no,56
746,540,64,no,64
582,214,50,no,50
520,458,31,yes,31
450,214,16,yes,16
850,606,57,yes,57
626,460,56,no,56
216,178,23,yes,23
478,180,31,yes,31
746,666,47,yes,47
246,666,39,yes,39
538,506,35,yes,35
