index,x,y,r (pixel),is_circle,r (um),probability
12,200,92,99,yes,99,0.486815415821501
3,604,138,66,yes,66,0.34946236559139787
25,500,604,147,no,147,0.29982668977469673
23,234,332,145,yes,145,0.2817073170731707
2,828,256,65,yes,65,0.2794759825327511
35,494,626,168,yes,168,0.21416526138279932
10,488,42,93,yes,93,0.1988472622478386
20,692,370,128,no,128,0.19613259668508287
13,210,72,100,no,100,0.1873536299765808
16,476,378,109,no,109,0.17532467532467533
9,470,358,83,yes,83,0.17094017094017094
21,680,392,135,yes,135,0.16710526315789473
24,252,308,145,no,145,0.15
8,622,120,78,no,78,0.1340909090909091
27,704,398,149,no,149,0.13167701863354037
17,468,42,109,no,109,0.1297709923664122
0,398,102,20,yes,20,0.125
41,516,628,184,no,184,0.12440944881889764
44,20,624,218,yes,218,0.12307692307692308
38,680,352,172,no,172,0.12255406797116375
14,454,372,100,no,100,0.12056737588652482
40,268,324,179,no,179,0.11067193675889328
32,710,378,163,no,163,0.10540184453227931
1,488,128,43,no,43,0.10416666666666667
29,248,360,152,no,152,0.10046728971962617
28,660,392,151,no,151,0.09976525821596244
33,214,338,164,no,164,0.09956709956709957
37,224,356,170,no,170,0.09895833333333333
15,478,334,104,no,104,0.09863945578231292
4,452,342,67,no,67,0.09840425531914894
19,668,372,114,no,114,0.09627329192546584
26,706,354,148,no,148,0.08513341804320203
34,672,420,165,no,165,0.08369098712446352
30,258,342,158,no,158,0.08183856502242152
11,204,318,93,no,93,0.07633587786259542
42,274,364,185,no,185,0.07471264367816093
5,508,42,74,no,74,0.07167235494880546
43,212,290,197,no,197,0.0710431654676259
7,200,354,76,no,76,0.07009345794392523
36,224,314,169,no,169,0.06694560669456066
18,468,572,111,no,111,0.0641025641025641
22,480,600,139,no,139,0.06394316163410302
6,220,102,75,no,75,0.06367924528301887
31,648,374,161,no,161,0.048458149779735685
39,276,290,176,no,176,0.04133064516129032
