x,y,r (pixel),is_circle,r (um)
344,194,121,yes,121
482,282,63,yes,63
390,402,87,yes,87
602,468,136,yes,136
184,510,134,no,134
202,492,110,yes,110
532,134,74,yes,74
366,208,126,no,126
326,186,146,no,146
604,260,62,yes,62
586,448,150,no,150
104,280,94,yes,94
340,170,131,no,131
360,178,135,no,135
134,286,108,no,108
224,480,113,no,113
258,324,67,no,67
344,148,148,no,148
126,82,93,yes,93
518,114,115,no,115
96,254,111,no,111
546,116,99,no,99
744,266,114,no,114
472,572,66,yes,66
554,146,81,no,81
196,472,90,no,90
138,262,96,no,96
526,154,89,no,89
84,286,75,no,75
760,252,95,yes,95
376,384,108,no,108
110,306,84,no,84
316,166,98,no,98
660,152,59,yes,59
98,74,73,no,73
82,62,74,no,74
364,556,53,yes,53
772,236,85,no,85
728,602,75,yes,75
322,146,70,no,70
