x,y,r (pixel),is_circle,r (um)
636,404,248,no,248
630,424,259,yes,259
638,380,226,no,226
512,340,343,no,343
294,292,118,yes,118
654,418,265,no,265
470,390,388,no,388
608,432,240,no,240
614,404,260,no,260
536,352,351,no,351
572,368,316,no,316
470,420,419,no,419
576,390,294,no,294
678,400,283,no,283
610,452,223,no,223
674,422,278,no,278
548,296,388,no,388
516,366,348,no,348
644,442,276,no,276
594,378,306,no,306
660,388,270,no,270
586,418,216,no,216
700,342,341,no,341
712,432,313,no,313
554,400,312,no,312
612,370,288,no,288
682,446,304,no,304
306,244,200,no,200
270,234,181,no,181
688,470,328,no,328
608,474,221,no,221
760,340,338,no,338
698,410,308,no,308
656,364,296,no,296
704,494,356,no,356
590,446,242,no,242
680,376,292,no,292
270,210,181,no,181
286,170,163,no,163
646,472,189,no,189
544,480,368,no,368
250,226,181,no,181
296,604,138,no,138
604,348,302,no,302
316,282,141,no,141
210,208,207,no,207
40,446,155,yes,155
244,314,175,no,175
446,174,80,yes,80
574,464,247,no,247
300,224,186,no,186
562,420,192,no,192
546,450,233,no,233
306,576,146,no,146
354,254,187,no,187
272,618,170,no,170
276,316,142,no,142
530,420,160,no,160
624,344,187,no,187
678,352,268,no,268
240,262,151,no,151
298,628,158,yes,158
662,456,276,no,276
360,228,158,no,158
272,260,179,no,179
262,592,109,no,109
596,496,209,no,209
246,282,164,no,164
324,630,194,no,194
62,470,133,no,133
530,392,179,no,179
628,460,226,no,226
516,462,221,no,221
620,540,117,no,117
318,598,152,no,152
328,192,144,no,144
556,340,145,no,145
272,558,127,no,127
324,258,114,no,114
626,484,200,no,200
298,522,153,no,153
292,270,139,no,139
286,580,126,no,126
274,296,98,no,98
410,550,252,no,252
302,348,149,no,149
520,314,112,no,112
300,312,97,no,97
522,440,198,no,198
290,332,134,no,134
408,132,130,no,130
244,584,89,no,89
32,422,179,no,179
500,400,152,no,152
340,232,136,no,136
496,306,88,no,88
580,346,162,no,162
320,302,96,no,96
408,172,95,no,95
274,530,131,no,131
214,344,165,no,165
644,342,193,no,193
552,366,154,no,154
64,426,114,no,114
656,490,169,no,169
588,516,167,no,167
6,150,121,no,121
570,506,177,no,177
632,508,175,no,175
384,176,105,no,105
328,126,104,no,104
568,316,155,no,155
542,324,124,no,124
494,364,115,no,115
498,424,130,no,130
252,560,113,no,113
264,376,149,no,149
270,402,141,no,141
20,178,108,no,108
296,386,122,no,122
322,324,100,no,100
94,430,85,no,85
472,330,85,no,85
362,608,83,no,83
214,166,108,no,108
622,562,96,no,96
432,158,80,no,80
384,612,72,no,72
338,274,63,no,63
668,512,145,no,145
834,114,104,no,104
294,104,103,no,103
98,468,98,no,98
238,608,76,no,76
834,86,84,no,84
568,482,175,no,175
218,598,66,no,66
84,364,152,no,152
228,554,94,no,94
382,204,89,no,89
338,312,76,no,76
112,448,76,no,76
600,2,131,no,131
518,290,125,no,125
466,360,96,no,96
496,328,90,no,90
720,362,166,no,166
38,144,96,no,96
478,298,68,no,68
546,532,122,no,122
288,456,103,no,103
520,496,143,no,143
684,532,127,no,127
348,590,89,no,89
358,308,59,no,59
722,328,134,no,134
232,628,105,no,105
386,242,63,no,63
692,322,148,no,148
240,376,82,no,82
438,202,56,no,56
372,116,85,no,85
256,344,54,no,54
