x,y,r (pixel),is_circle,r (um)
264,562,52,yes,52
258,336,59,yes,59
264,144,55,yes,55
678,376,46,yes,46
562,594,42,yes,42
148,294,50,yes,50
228,132,93,no,93
308,236,53,yes,53
728,560,46,yes,46
572,500,45,yes,45
370,476,83,no,83
168,392,58,yes,58
32,646,32,yes,32
696,146,45,yes,45
794,308,45,yes,45
136,586,50,yes,50
766,196,45,yes,45
180,224,84,no,84
74,150,54,yes,54
170,198,58,yes,58
344,98,37,yes,37
60,270,42,yes,42
288,128,99,no,99
144,64,62,no,62
408,8,53,yes,53
570,294,46,yes,46
296,414,32,yes,32
502,646,27,yes,27
346,368,32,yes,32
236,544,85,no,85
326,258,80,no,80
194,192,81,no,81
342,230,76,no,76
380,412,83,no,83
484,576,38,yes,38
264,300,88,no,88
494,186,82,no,82
300,256,93,no,93
324,210,93,no,93
408,578,31,yes,31
250,112,85,no,85
278,168,81,no,81
190,168,80,no,80
204,614,28,yes,28
392,434,78,no,78
272,354,76,no,76
384,530,80,no,80
194,508,36,yes,36
594,48,42,yes,42
466,128,35,yes,35
564,254,76,no,76
490,498,42,yes,42
60,398,31,yes,31
596,150,31,yes,31
604,412,32,yes,32
144,180,80,no,80
170,176,70,no,70
120,72,40,yes,40
196,392,81,no,81
830,386,38,yes,38
96,162,72,no,72
526,94,39,yes,39
598,288,66,no,66
226,446,36,yes,36
792,514,33,yes,33
310,472,31,yes,31
398,184,28,yes,28
268,54,34,yes,34
404,128,29,yes,29
90,494,74,no,74
156,374,71,no,71
116,490,53,yes,53
502,20,40,yes,40
634,610,36,yes,36
718,578,60,no,60
540,372,33,yes,33
686,166,65,no,65
94,470,70,no,70
280,320,78,no,78
158,216,76,no,76
654,546,33,yes,33
182,376,71,no,71
468,230,27,yes,27
672,258,32,yes,32
290,654,28,yes,28
398,236,25,yes,25
582,270,62,no,62
118,572,67,no,67
400,162,49,no,49
832,646,37,yes,37
226,250,30,yes,30
506,416,27,yes,27
160,276,63,no,63
74,130,61,no,61
152,564,60,no,60
432,198,58,no,58
190,488,52,no,52
238,334,70,no,70
310,450,52,no,52
316,6,42,yes,42
584,206,22,yes,22
500,516,60,no,60
350,348,55,no,55
228,50,48,no,48
192,102,43,no,43
816,110,35,yes,35
106,136,60,no,60
116,50,48,no,48
514,182,40,no,40
282,574,68,no,68
256,544,54,no,54
470,496,50,no,50
386,488,36,no,36
572,672,29,yes,29
394,336,25,yes,25
770,638,22,yes,22
484,476,54,no,54
432,450,32,no,32
618,242,22,yes,22
4,324,40,yes,40
442,400,24,yes,24
502,468,58,no,58
532,74,46,no,46
482,548,50,no,50
548,96,42,no,42
438,520,22,yes,22
58,566,21,yes,21
388,676,31,yes,31
36,22,37,yes,37
736,650,19,yes,19
708,548,54,no,54
212,490,46,no,46
536,450,22,yes,22
246,160,49,no,49
190,124,32,no,32
396,288,19,yes,19
614,212,41,no,41
594,98,19,yes,19
366,312,25,no,25
138,44,39,no,39
606,342,38,no,38
192,56,27,yes,27
452,272,20,yes,20
440,178,37,no,37
644,210,17,yes,17
152,102,27,no,27
378,68,55,no,55
536,142,38,no,38
8,86,35,yes,35
12,208,24,yes,24
178,410,53,no,53
276,546,49,no,49
234,72,37,no,37
216,84,33,no,33
244,206,25,no,25
338,304,34,no,34
302,66,31,no,31
630,590,30,no,30
676,628,18,yes,18
642,122,17,yes,17
422,282,38,no,38
546,212,20,yes,20
504,564,42,no,42
508,202,34,no,34
552,182,14,yes,14
62,170,28,no,28
546,580,38,no,38
54,144,34,no,34
584,588,32,no,32
748,562,31,no,31
450,542,21,no,21
622,280,17,no,17
242,488,15,yes,15
366,576,13,yes,13
530,228,34,no,34
264,458,27,no,27
660,388,25,no,25
120,308,23,no,23
656,368,34,no,34
366,160,29,no,29
178,78,24,no,24
268,522,40,no,40
156,408,37,no,37
428,486,24,no,24
652,246,23,no,23
368,228,22,no,22
258,584,33,no,33
530,534,24,no,24
