x,y,r (pixel),is_circle,r (um)
652,132,97,yes,146.47
222,108,104,yes,157.04
400,382,84,yes,126.84
350,576,111,yes,167.61
224,414,87,yes,131.37
330,568,124,no,187.24
218,130,127,no,191.77
344,540,144,no,217.44
712,502,96,yes,144.96
312,556,114,no,172.14000000000001
64,300,106,yes,160.06
704,324,87,yes,131.37
378,220,74,yes,111.74
518,258,77,yes,116.27
376,534,149,no,224.99
440,52,114,yes,172.14000000000001
374,582,126,no,190.26
378,372,109,no,164.59
424,396,116,no,175.16
542,558,77,yes,116.27
286,544,140,no,211.4
242,428,110,no,166.1
370,562,123,no,185.73
690,308,110,no,166.1
56,482,81,yes,122.31
566,412,79,yes,119.29
170,554,59,yes,89.09
624,120,118,no,178.18
306,576,138,no,208.38
208,428,106,no,160.06
650,152,117,no,176.67
692,502,106,no,160.06
208,448,138,no,208.38
390,352,102,no,154.02
198,404,101,no,152.51
46,118,80,yes,120.8
848,214,92,yes,138.92
428,350,134,no,202.34
386,600,143,no,215.93
234,90,98,no,147.98
512,540,87,no,131.37
238,374,141,no,212.91
670,160,136,no,205.36
732,490,119,no,179.69
210,80,96,no,144.96
644,112,115,no,173.65
312,506,149,no,224.99
244,110,121,no,182.71
438,380,120,no,181.2
610,142,141,no,212.91
342,352,127,no,191.77
532,514,122,no,184.22
508,514,113,no,170.63
684,472,100,no,151.0
794,60,62,yes,93.62
398,406,106,no,160.06
532,274,98,no,147.98
532,234,110,no,166.1
412,366,94,no,141.94
320,534,110,no,166.1
188,222,47,yes,70.97
202,114,124,no,187.24
674,132,121,no,182.71
670,500,136,no,205.36
392,548,132,no,199.32
722,312,109,no,164.59
710,462,101,no,152.51
348,204,89,no,134.39000000000001
692,142,140,no,211.4
632,142,118,no,178.18
498,222,103,no,155.53
368,392,120,no,181.2
338,604,138,no,208.38
490,240,120,no,181.2
226,390,103,no,155.53
734,510,109,no,164.59
666,108,102,no,154.02
564,548,93,no,140.43
266,276,50,yes,75.5
362,604,132,no,199.32
432,32,132,no,199.32
242,404,100,no,151.0
548,386,99,no,149.49
670,520,130,no,196.3
664,316,114,no,172.14000000000001
338,522,109,no,164.59
448,76,105,no,158.55
548,434,102,no,154.02
188,88,142,no,214.42
702,286,112,no,169.12
74,280,85,no,128.35
368,344,120,no,181.2
38,284,118,no,178.18
168,388,115,no,173.65
356,368,115,no,173.65
226,440,106,no,160.06
678,280,104,no,157.04
198,382,86,no,129.86
738,468,124,no,187.24
208,362,121,no,182.71
546,406,81,no,122.31
538,534,82,no,123.82000000000001
248,134,141,no,212.91
550,216,110,no,166.1
426,70,106,no,160.06
524,582,101,no,152.51
562,528,81,no,122.31
634,94,102,no,154.02
50,462,101,no,152.51
542,256,93,no,140.43
192,558,74,no,111.74
142,552,83,no,125.33
520,560,80,no,120.8
600,114,141,no,212.91
392,574,136,no,205.36
180,536,79,no,119.29
702,526,108,no,163.08
190,438,122,no,184.22
736,330,122,no,184.22
54,272,105,no,158.55
574,568,98,no,147.98
578,396,86,no,129.86
462,60,135,no,203.85
492,536,94,no,141.94
704,484,86,no,129.86
242,72,116,no,175.16
510,290,109,no,164.59
586,430,106,no,160.06
130,536,104,no,157.04
730,290,106,no,160.06
76,456,81,no,122.31
34,100,80,no,120.8
156,532,56,no,84.56
698,348,120,no,181.2
556,274,111,no,167.61
180,414,91,no,137.41
368,196,79,no,119.29
600,410,102,no,154.02
352,236,98,no,147.98
756,482,94,no,141.94
418,50,128,no,193.28
398,222,84,no,126.84
168,514,61,no,92.11
288,278,72,no,108.72
518,220,83,no,125.33
406,340,81,no,122.31
50,320,122,no,184.22
596,376,84,no,126.84
558,368,80,no,120.8
538,364,89,no,134.39000000000001
306,596,88,no,132.88
666,296,87,no,131.37
274,298,73,no,110.23
388,240,91,no,137.41
84,300,79,no,119.29
660,658,76,yes,114.76
450,478,44,yes,66.44
98,570,75,no,113.25
500,558,69,no,104.19
462,40,137,no,206.87
42,252,127,no,191.77
722,348,60,no,90.6
526,422,74,no,111.74
256,252,66,no,99.66
458,98,80,no,120.8
42,438,80,no,120.8
516,386,77,no,116.27
390,202,69,no,104.19
546,578,67,no,101.17
76,476,59,no,89.09
470,474,44,no,66.44
344,182,72,no,108.72
368,424,59,no,89.09
406,78,79,no,119.29
262,376,70,no,105.7
224,602,45,no,67.95
424,330,75,no,113.25
666,632,65,no,98.15
70,318,73,no,110.23
192,132,66,no,99.66
498,272,64,no,96.64
478,678,62,yes,93.62
686,170,59,no,89.09
174,206,52,no,78.52
544,292,42,no,63.42
472,82,61,no,92.11
642,648,60,no,90.6
476,272,49,no,73.99
568,228,48,no,72.48
262,404,56,no,84.56
214,216,38,no,57.38
654,344,39,no,58.89
366,252,35,no,52.85
76,518,29,no,43.79
670,400,26,yes,39.26
