x,y,r (pixel),is_circle,r (um)
164,444,46,yes,46
364,178,99,no,99
596,572,91,no,91
400,464,58,yes,58
702,432,53,yes,53
704,346,34,yes,34
704,408,99,no,99
552,582,77,no,77
664,34,70,no,70
504,514,80,no,80
418,480,76,no,76
416,330,84,no,84
242,124,99,no,99
178,54,33,yes,33
592,404,75,no,75
376,58,34,yes,34
386,182,91,no,91
386,642,36,yes,36
518,144,88,no,88
436,328,72,no,72
160,364,32,yes,32
664,302,88,no,88
724,396,99,no,99
494,402,33,yes,33
616,188,34,yes,34
314,54,28,yes,28
340,394,46,yes,46
576,618,42,yes,42
578,306,37,yes,37
576,470,36,yes,36
322,464,29,yes,29
124,320,70,no,70
156,144,22,yes,22
384,448,81,no,81
422,300,80,no,80
110,352,65,no,65
652,622,47,yes,47
622,526,38,yes,38
314,122,33,yes,33
486,600,43,yes,43
614,584,70,no,70
492,572,54,no,54
678,150,39,yes,39
812,412,21,yes,21
180,414,80,no,80
724,434,80,no,80
220,338,38,yes,38
132,244,31,yes,31
498,476,43,yes,43
408,386,28,yes,28
320,244,44,no,44
278,280,25,yes,25
544,90,31,yes,31
536,436,70,no,70
802,358,31,yes,31
572,236,34,yes,34
444,304,48,no,48
352,304,29,yes,29
770,82,42,yes,42
236,568,28,yes,28
106,332,49,no,49
262,466,27,yes,27
210,230,25,yes,25
224,106,69,no,69
548,544,42,yes,42
772,192,27,yes,27
494,40,25,yes,25
250,194,31,yes,31
768,610,60,no,60
176,264,56,no,56
664,242,28,yes,28
796,266,22,yes,22
418,450,55,no,55
154,300,27,yes,27
202,278,25,yes,25
388,546,24,no,24
356,572,52,no,52
558,518,46,no,46
326,272,53,no,53
622,130,23,yes,23
286,646,20,yes,20
344,252,49,no,49
424,608,48,no,48
576,142,25,yes,25
420,584,28,yes,28
706,208,38,no,38
508,270,36,yes,36
112,404,29,yes,29
672,608,44,no,44
544,148,49,no,49
526,588,40,no,40
278,510,23,yes,23
818,232,19,yes,19
640,506,44,no,44
488,90,30,yes,30
586,600,25,no,25
258,16,29,yes,29
324,514,24,yes,24
702,508,34,no,34
396,260,20,yes,20
362,390,48,no,48
840,280,25,yes,25
396,430,52,no,52
488,198,27,yes,27
492,534,16,yes,16
746,258,36,no,36
548,372,28,yes,28
754,506,27,yes,27
448,6,33,yes,33
224,646,27,yes,27
522,328,25,yes,25
416,234,23,yes,23
754,348,20,yes,20
584,352,48,no,48
594,450,34,no,34
804,630,21,yes,21
686,418,48,no,48
172,618,20,yes,20
456,548,17,yes,17
720,108,17,yes,17
360,594,16,yes,16
714,294,13,yes,13
442,176,25,yes,25
628,438,24,yes,24
440,130,24,yes,24
808,144,29,yes,29
274,422,20,yes,20
538,404,39,no,39
516,462,34,no,34
634,388,30,yes,30
542,176,23,yes,23
292,210,17,yes,17
788,304,29,no,29
446,580,29,no,29
612,344,22,yes,22
198,190,18,yes,18
532,256,34,no,34
462,656,28,no,28
436,96,17,yes,17
468,248,23,no,23
748,300,15,yes,15
642,474,10,yes,10
814,526,22,yes,22
578,100,21,no,21
308,180,14,yes,14
648,600,28,no,28
794,476,23,yes,23
304,552,20,yes,20
486,352,18,yes,18
72,490,11,yes,11
644,302,29,no,29
172,200,17,yes,17
278,238,17,yes,17
706,638,16,yes,16
16,472,16,yes,16
326,610,18,yes,18
528,212,19,yes,19
184,442,25,no,25
752,630,17,yes,17
254,252,10,yes,10
