x,y,r (pixel),is_circle,r (um)
554,96,51,yes,51
190,112,67,no,67
756,184,57,no,57
400,272,69,no,69
366,40,32,yes,32
406,176,54,no,54
560,226,54,yes,54
568,116,61,no,61
150,178,25,yes,25
428,190,44,no,44
80,330,59,no,59
174,98,52,yes,52
348,116,26,yes,26
710,176,28,yes,28
570,470,46,yes,46
482,218,33,yes,33
434,32,30,yes,30
590,398,29,yes,29
796,122,32,yes,32
648,292,50,yes,50
402,94,27,yes,27
668,48,44,no,44
666,632,41,yes,41
56,420,45,no,45
66,158,37,no,37
614,46,28,yes,28
734,64,44,no,44
594,340,22,yes,22
658,440,42,yes,42
182,350,40,yes,40
300,58,36,no,36
62,64,31,yes,31
682,224,28,yes,28
110,326,44,yes,44
820,248,36,yes,36
504,280,37,yes,37
776,186,31,yes,31
634,104,29,yes,29
736,136,28,yes,28
734,292,50,yes,50
498,34,34,yes,34
334,520,57,no,57
506,422,50,no,50
502,338,21,yes,21
462,74,42,no,42
648,368,36,yes,36
598,154,29,yes,29
358,200,32,yes,32
542,550,54,no,54
420,364,35,yes,35
636,192,28,yes,28
678,132,29,yes,29
432,128,20,yes,20
726,84,37,no,37
516,172,28,no,28
184,220,23,yes,23
446,86,35,no,35
474,150,31,yes,31
116,140,27,yes,27
78,258,31,yes,31
700,556,45,yes,45
218,430,41,no,41
318,440,37,no,37
404,448,25,no,25
250,132,27,yes,27
380,328,24,yes,24
122,462,32,yes,32
656,112,31,no,31
320,170,30,no,30
116,62,24,yes,24
308,154,24,yes,24
326,368,28,yes,28
360,158,16,yes,16
314,306,20,no,20
334,242,17,no,17
290,128,29,no,29
196,268,21,no,21
244,368,20,no,20
548,154,22,yes,22
706,374,20,yes,20
