x,y,r (pixel),is_circle,r (um)
588,420,246,yes,246
604,384,199,no,199
30,380,186,no,186
572,406,237,no,237
562,430,261,no,261
592,444,222,no,222
546,418,265,no,265
608,406,222,no,222
298,652,141,yes,141
12,410,222,yes,222
524,422,287,no,287
556,390,257,no,257
288,674,165,no,165
628,432,252,no,252
606,430,245,no,245
534,362,322,no,322
574,380,288,no,288
564,354,312,no,312
536,392,269,no,269
504,396,285,no,285
574,454,210,no,210
602,364,180,no,180
628,402,227,no,227
652,424,259,no,259
622,372,178,no,178
594,468,215,no,215
612,448,210,no,210
596,344,159,no,159
598,488,180,no,180
624,348,158,no,158
662,396,149,no,149
666,450,162,no,162
632,476,146,no,146
574,308,118,no,118
624,328,145,no,145
676,426,148,no,148
