x,y,r (pixel),is_circle,r (um)
506,180,70,yes,70
764,574,90,yes,90
348,180,66,yes,66
222,132,64,yes,64
628,220,61,yes,61
720,68,54,yes,54
144,220,53,yes,53
742,244,57,yes,57
340,548,68,yes,68
454,632,70,yes,70
232,598,55,yes,55
58,276,50,yes,50
448,288,55,yes,55
132,436,64,yes,64
490,56,55,yes,55
148,38,53,yes,53
342,284,43,yes,43
110,126,42,yes,42
254,248,51,yes,51
782,146,49,yes,49
166,324,56,yes,56
378,62,54,yes,54
236,488,52,yes,52
718,442,45,yes,45
638,578,48,yes,48
470,400,49,yes,49
626,432,42,yes,42
546,276,42,yes,42
456,496,46,yes,46
230,394,44,yes,44
560,364,44,yes,44
378,370,46,yes,46
76,534,43,yes,43
744,358,40,yes,40
836,426,76,yes,76
548,568,44,yes,44
628,312,38,yes,38
614,104,56,yes,56
142,592,36,yes,36
42,50,50,yes,50
674,368,34,yes,34
584,648,40,yes,40
26,456,46,yes,46
336,656,46,yes,46
384,446,33,yes,33
810,310,44,yes,44
596,504,32,yes,32
306,382,33,yes,33
162,518,31,yes,31
18,182,55,yes,55
822,58,48,yes,48
70,664,53,yes,53
672,660,45,yes,45
536,452,41,yes,41
698,152,36,yes,36
650,474,80,no,80
364,166,66,no,66
240,124,63,no,63
172,28,63,no,63
424,206,27,yes,27
666,500,38,yes,38
296,48,47,no,47
312,448,29,yes,29
496,160,90,no,90
78,266,55,no,55
522,508,23,yes,23
766,554,64,no,64
90,348,29,yes,29
172,654,27,yes,27
640,194,55,no,55
278,328,36,no,36
354,530,66,no,66
240,580,65,no,65
576,348,54,no,54
50,384,22,yes,22
398,72,68,no,68
524,190,51,no,51
632,116,36,no,36
502,76,27,no,27
642,234,36,no,36
360,196,40,no,40
