x,y,r (pixel),is_circle,r (um)
334,134,29,yes,85.55000000000001
212,300,23,yes,67.85000000000001
226,92,27,yes,79.65
182,36,28,yes,82.60000000000001
318,606,29,yes,85.55000000000001
278,174,29,yes,85.55000000000001
194,162,24,yes,70.80000000000001
298,274,27,yes,79.65
326,342,21,yes,61.95
346,238,25,yes,73.75
298,94,24,yes,70.80000000000001
422,28,26,yes,76.7
410,394,28,yes,82.60000000000001
796,586,42,no,123.9
36,148,26,yes,76.7
394,576,43,no,126.85000000000001
454,556,42,no,123.9
180,216,26,yes,76.7
76,214,20,yes,59.0
262,548,28,yes,82.60000000000001
378,88,23,yes,67.85000000000001
810,28,22,yes,64.9
238,204,14,yes,41.300000000000004
274,430,19,yes,56.050000000000004
398,192,29,no,85.55000000000001
32,380,17,yes,50.150000000000006
656,220,22,yes,64.9
46,104,14,yes,41.300000000000004
500,148,27,no,79.65
366,442,32,no,94.4
644,132,22,no,64.9
562,652,33,no,97.35000000000001
784,228,24,no,70.80000000000001
528,60,18,yes,53.1
554,312,24,no,70.80000000000001
376,372,12,yes,35.400000000000006
486,112,18,yes,53.1
464,28,16,yes,47.2
650,186,12,yes,35.400000000000006
606,42,17,yes,50.150000000000006
408,314,26,no,76.7
462,298,22,no,64.9
72,26,18,yes,53.1
140,168,12,yes,35.400000000000006
506,294,24,no,70.80000000000001
788,116,19,yes,56.050000000000004
94,166,16,yes,47.2
114,96,14,yes,41.300000000000004
734,126,27,no,79.65
608,152,18,yes,53.1
570,236,18,yes,53.1
380,32,17,yes,50.150000000000006
750,168,15,yes,44.25
118,128,11,yes,32.45
638,394,24,no,70.80000000000001
584,270,20,yes,59.0
398,118,19,yes,56.050000000000004
622,284,18,yes,53.1
826,650,25,yes,73.75
340,72,14,yes,41.300000000000004
266,52,24,no,70.80000000000001
130,70,12,yes,35.400000000000006
