x,y,r (pixel),is_circle,r (um)
356,250,45,no,45
162,44,43,no,43
344,130,45,no,45
44,216,29,no,29
126,538,22,yes,22
778,568,26,yes,26
336,386,22,yes,22
656,486,17,yes,17
90,82,19,yes,19
156,600,25,yes,25
162,460,23,yes,23
164,502,17,yes,17
74,544,27,no,27
314,418,22,yes,22
612,102,17,yes,17
690,298,22,yes,22
190,290,19,yes,19
446,56,34,no,34
662,440,32,no,32
216,252,30,no,30
124,134,17,yes,17
232,296,19,yes,19
686,40,16,yes,16
550,260,29,no,29
510,468,18,yes,18
564,72,18,yes,18
624,510,17,yes,17
712,466,16,yes,16
552,126,23,yes,23
410,642,22,yes,22
130,636,20,yes,20
342,54,19,yes,19
354,210,19,yes,19
90,130,22,yes,22
460,628,19,yes,19
18,666,17,yes,17
324,90,16,yes,16
332,166,29,no,29
652,80,26,yes,26
148,408,25,yes,25
136,370,24,yes,24
94,378,23,yes,23
162,558,19,yes,19
700,352,24,yes,24
716,596,24,yes,24
104,424,22,yes,22
562,222,16,yes,16
772,64,15,yes,15
128,250,23,yes,23
646,188,22,yes,22
104,314,22,yes,22
512,120,20,yes,20
410,122,18,yes,18
132,210,16,yes,16
70,324,22,no,22
156,140,22,no,22
256,90,22,yes,22
290,158,22,yes,22
252,366,22,yes,22
714,156,22,yes,22
292,336,18,yes,18
504,598,18,yes,18
280,398,17,yes,17
472,658,16,yes,16
436,88,22,yes,22
112,464,19,yes,19
162,264,17,yes,17
622,308,15,yes,15
304,62,14,yes,14
216,544,21,yes,21
180,362,19,yes,19
568,514,19,yes,19
570,334,19,yes,19
96,226,18,yes,18
240,586,17,yes,17
256,654,17,yes,17
108,166,15,yes,15
610,178,15,yes,15
608,348,27,no,27
68,290,24,yes,24
224,186,24,yes,24
64,610,24,yes,24
778,196,23,yes,23
42,522,22,yes,22
120,284,19,yes,19
60,258,19,yes,19
468,320,18,yes,18
448,252,16,yes,16
562,188,16,yes,16
40,306,14,yes,14
384,36,12,yes,12
30,424,22,yes,22
206,332,20,yes,20
316,254,18,yes,18
46,172,18,yes,18
50,22,14,yes,14
200,494,14,yes,14
280,114,14,yes,14
62,140,24,no,24
272,48,21,yes,21
642,32,20,yes,20
42,628,20,yes,20
300,602,20,yes,20
532,498,18,yes,18
70,480,17,yes,17
428,206,17,yes,17
308,524,16,yes,16
538,288,12,yes,12
168,102,23,no,23
612,232,20,yes,20
358,310,19,yes,19
664,396,19,yes,19
308,458,18,yes,18
244,414,18,yes,18
504,84,15,yes,15
424,352,14,yes,14
512,306,14,yes,14
672,164,12,yes,12
94,628,12,yes,12
246,472,24,no,24
48,568,22,no,22
832,140,18,yes,18
44,384,17,yes,17
250,244,16,yes,16
42,338,15,yes,15
300,554,15,yes,15
496,152,12,yes,12
492,214,20,no,20
486,434,18,yes,18
150,72,16,yes,16
438,530,16,yes,16
308,658,16,yes,16
28,598,15,yes,15
806,64,15,yes,15
580,252,14,yes,14
682,228,14,yes,14
408,298,12,yes,12
578,654,24,no,24
436,292,22,yes,22
254,180,20,no,20
458,176,19,no,19
538,536,17,yes,17
598,616,16,yes,16
280,268,16,yes,16
654,290,16,yes,16
512,32,15,yes,15
806,344,15,yes,15
310,292,14,no,14
766,246,12,yes,12
232,390,10,yes,10
694,546,26,yes,26
304,34,20,no,20
206,438,19,yes,19
778,152,19,yes,19
232,508,17,yes,17
154,292,16,yes,16
374,120,15,yes,15
390,360,15,yes,15
522,198,15,yes,15
738,130,13,yes,13
346,18,12,yes,12
360,154,12,yes,12
650,346,19,yes,19
624,378,17,yes,17
110,600,16,yes,16
22,246,16,yes,16
320,322,15,yes,15
276,578,15,yes,15
666,116,14,yes,14
596,492,13,yes,13
474,352,12,yes,12
274,438,22,no,22
662,256,18,yes,18
514,272,17,yes,17
678,8,16,yes,16
728,220,16,yes,16
186,182,15,yes,15
396,172,15,yes,15
474,74,15,yes,15
596,72,14,yes,14
282,198,12,yes,12
366,180,12,yes,12
534,70,12,yes,12
66,354,11,yes,11
690,266,11,yes,11
342,668,21,yes,21
200,466,19,no,19
298,226,17,yes,17
420,414,15,yes,15
694,178,15,yes,15
710,244,15,yes,15
374,74,14,yes,14
726,372,12,yes,12
42,452,17,yes,17
714,404,17,yes,17
738,10,17,yes,17
492,504,16,yes,16
232,64,16,yes,16
374,398,15,yes,15
166,322,15,yes,15
224,92,14,yes,14
618,60,14,yes,14
636,154,14,yes,14
718,190,14,yes,14
200,132,11,yes,11
76,160,10,yes,10
780,122,10,yes,10
114,502,20,yes,20
746,176,17,yes,17
600,404,16,yes,16
186,528,15,yes,15
186,48,15,yes,15
304,366,15,yes,15
258,136,15,yes,15
450,426,14,yes,14
254,556,14,yes,14
158,194,12,yes,12
