x,y,r (pixel),is_circle,r (um)
192,176,63,yes,63
268,342,61,yes,61
456,162,56,yes,56
646,170,51,yes,51
372,334,42,yes,42
172,564,57,yes,57
420,406,37,yes,37
750,548,41,yes,41
316,86,30,yes,30
318,450,22,yes,22
50,302,24,yes,24
402,560,17,yes,17
98,114,22,yes,22
554,158,24,yes,24
72,622,48,yes,48
250,224,22,yes,22
812,322,18,yes,18
142,100,19,yes,19
470,556,17,yes,17
178,254,19,yes,19
806,580,16,yes,16
200,156,43,no,43
58,500,16,yes,16
800,72,14,yes,14
22,564,20,yes,20
478,262,12,yes,12
350,32,10,yes,10
76,602,30,no,30
512,530,14,yes,14
466,434,16,yes,16
832,156,11,yes,11
324,534,12,yes,12
