x,y,r (pixel),is_circle,r (um)
156,220,36,yes,36
498,378,40,yes,40
570,340,41,yes,41
804,400,44,yes,44
768,314,45,yes,45
724,382,34,yes,34
226,206,37,yes,37
488,206,32,yes,32
654,50,40,yes,40
234,454,36,yes,36
212,638,35,yes,35
300,192,32,yes,32
134,104,40,yes,40
348,292,38,yes,38
704,222,32,yes,32
654,544,38,yes,38
646,370,37,yes,37
588,492,40,yes,40
424,612,41,no,41
596,180,39,yes,39
156,556,36,yes,36
232,50,35,yes,35
554,420,32,yes,32
524,556,31,yes,31
346,146,32,yes,32
766,472,30,yes,30
220,280,40,yes,40
368,214,40,yes,40
664,172,32,yes,32
194,388,40,yes,40
444,434,37,yes,37
722,150,31,yes,31
306,344,27,yes,27
422,330,36,yes,36
790,642,30,yes,30
296,506,37,yes,37
506,478,37,yes,37
726,522,33,yes,33
156,490,32,yes,32
244,338,30,yes,30
122,410,34,yes,34
58,398,32,yes,32
330,402,32,yes,32
558,620,37,yes,37
392,490,36,yes,36
40,462,32,yes,32
138,336,36,yes,36
310,576,35,yes,35
468,272,34,yes,34
216,518,33,yes,33
630,114,30,yes,30
516,108,28,yes,28
572,112,30,yes,30
166,36,28,yes,28
96,272,39,yes,39
120,618,32,yes,32
100,520,31,yes,31
766,188,29,yes,29
760,64,22,yes,22
436,166,28,yes,28
616,286,27,yes,27
68,336,31,yes,31
458,110,31,yes,31
78,576,29,yes,29
674,634,32,yes,32
470,574,22,yes,22
668,294,44,no,44
622,602,29,yes,29
528,256,29,yes,29
274,634,28,yes,28
688,102,27,yes,27
590,62,24,yes,24
626,362,56,no,56
816,222,33,yes,33
714,442,31,yes,31
584,554,28,yes,28
290,134,22,yes,22
766,584,36,yes,36
770,122,27,yes,27
644,224,34,yes,34
492,624,28,yes,28
362,600,26,yes,26
272,244,24,yes,24
182,158,30,yes,30
240,140,28,yes,28
428,542,27,yes,27
564,282,18,yes,18
294,442,24,yes,24
812,162,23,yes,23
258,588,22,yes,22
230,628,44,no,44
806,68,23,yes,23
202,102,22,yes,22
320,96,22,yes,22
650,470,34,yes,34
496,60,33,yes,33
86,200,31,yes,31
408,264,25,yes,25
108,464,22,yes,22
158,276,22,yes,22
326,628,27,yes,27
758,240,24,yes,24
820,114,24,yes,24
328,50,22,yes,22
374,552,28,yes,28
366,350,24,yes,24
370,654,37,no,37
580,240,29,yes,29
784,530,24,yes,24
544,204,23,yes,23
518,302,21,yes,21
64,100,27,yes,27
432,220,27,yes,27
366,84,26,yes,26
404,386,25,yes,25
256,98,20,yes,20
208,578,29,yes,29
616,426,29,yes,29
22,568,28,yes,28
286,296,25,yes,25
340,456,21,yes,21
266,398,29,yes,29
476,526,24,yes,24
532,158,27,yes,27
734,96,20,yes,20
478,320,20,yes,20
132,166,26,yes,26
386,38,23,yes,23
382,428,21,yes,21
198,324,20,yes,20
486,150,19,yes,19
284,66,18,yes,18
448,490,26,yes,26
176,438,21,yes,21
542,68,24,yes,24
400,122,24,yes,24
702,578,25,yes,25
802,18,22,yes,22
666,418,19,yes,19
838,330,27,yes,27
172,608,26,no,26
46,510,19,yes,19
318,240,20,yes,20
44,286,16,yes,16
626,650,22,yes,22
84,142,21,yes,21
754,418,17,yes,17
684,322,19,yes,19
580,14,20,yes,20
272,544,13,yes,13
