x,y,r (pixel),is_circle,r (um)
350,396,81,yes,238.95000000000002
104,408,65,no,191.75
758,578,51,yes,150.45000000000002
440,556,54,yes,159.3
240,590,90,no,265.5
736,72,64,yes,188.8
198,198,71,yes,209.45000000000002
304,614,58,yes,171.10000000000002
216,380,48,yes,141.60000000000002
116,424,92,no,271.40000000000003
374,376,99,no,292.05
548,538,69,yes,203.55
78,156,46,yes,135.70000000000002
398,630,37,yes,109.15
96,428,87,no,256.65000000000003
332,606,77,no,227.15
82,400,76,no,224.20000000000002
64,558,48,no,141.60000000000002
278,604,78,no,230.10000000000002
704,186,48,yes,141.60000000000002
90,572,86,no,253.70000000000002
326,290,31,yes,91.45
240,484,73,no,215.35000000000002
348,376,82,no,241.9
32,268,62,yes,182.9
266,464,46,yes,135.70000000000002
348,220,43,yes,126.85000000000001
592,130,43,yes,126.85000000000001
182,184,76,no,224.20000000000002
314,584,74,no,218.3
208,636,42,yes,123.9
146,302,48,yes,141.60000000000002
662,586,48,yes,141.60000000000002
330,392,80,no,236.0
68,538,66,no,194.70000000000002
330,508,55,no,162.25
236,86,46,yes,135.70000000000002
418,550,70,no,206.5
514,374,44,yes,129.8
402,286,37,yes,109.15
134,614,36,yes,106.2
492,634,44,yes,129.8
632,190,93,no,274.35
194,372,70,no,206.5
362,510,68,no,200.60000000000002
478,294,40,yes,118.0
568,544,78,no,230.10000000000002
710,338,36,yes,106.2
92,538,78,no,230.10000000000002
188,552,58,no,171.10000000000002
528,536,89,no,262.55
646,264,29,yes,85.55000000000001
174,202,86,no,253.70000000000002
300,142,38,yes,112.10000000000001
798,648,35,yes,103.25
100,384,76,no,224.20000000000002
160,468,60,no,177.0
436,222,35,yes,103.25
232,618,70,no,206.5
508,136,42,yes,123.9
64,638,38,yes,112.10000000000001
200,398,72,no,212.4
320,220,70,no,206.5
222,200,83,no,244.85000000000002
234,364,74,no,218.3
484,46,54,yes,159.3
260,302,38,yes,112.10000000000001
144,92,46,yes,135.70000000000002
618,336,37,yes,109.15
470,470,44,yes,129.8
754,402,27,yes,79.65
542,442,32,yes,94.4
188,462,44,no,129.8
612,444,43,yes,126.85000000000001
238,388,68,no,200.60000000000002
576,240,30,yes,88.5
372,402,78,no,230.10000000000002
248,450,62,no,182.9
622,50,40,yes,118.0
560,308,31,yes,91.45
234,464,60,no,177.0
346,524,60,no,177.0
216,512,38,no,112.10000000000001
510,216,37,yes,109.15
280,244,29,yes,85.55000000000001
278,480,53,no,156.35000000000002
170,570,48,no,141.60000000000002
170,444,46,no,135.70000000000002
218,538,43,no,126.85000000000001
592,642,41,yes,120.95
688,414,39,yes,115.05000000000001
140,284,56,no,165.20000000000002
736,564,53,no,156.35000000000002
118,494,38,no,112.10000000000001
434,148,38,no,112.10000000000001
700,518,28,yes,82.60000000000001
198,572,43,no,126.85000000000001
788,172,37,yes,109.15
374,130,35,yes,103.25
240,570,27,yes,79.65
666,90,20,yes,59.0
454,542,53,no,156.35000000000002
280,624,48,no,141.60000000000002
44,284,70,no,206.5
452,462,49,no,144.55
558,36,26,yes,76.7
670,468,28,yes,82.60000000000001
490,464,50,no,147.5
466,628,55,no,162.25
48,542,59,no,174.05
426,432,25,yes,73.75
168,502,32,no,94.4
444,354,29,yes,85.55000000000001
396,178,21,yes,61.95
122,398,54,no,159.3
238,518,40,no,118.0
460,400,31,no,91.45
116,228,29,yes,85.55000000000001
416,482,25,yes,73.75
436,532,53,no,156.35000000000002
514,632,39,no,115.05000000000001
642,514,28,yes,82.60000000000001
306,282,43,no,126.85000000000001
200,612,38,no,112.10000000000001
586,382,27,yes,79.65
260,524,24,no,70.80000000000001
132,550,29,no,85.55000000000001
16,464,41,yes,120.95
114,616,38,no,112.10000000000001
440,100,25,yes,73.75
308,84,23,yes,67.85000000000001
212,272,26,yes,76.7
734,442,20,yes,59.0
296,594,37,no,109.15
20,354,25,no,73.75
558,180,19,yes,56.050000000000004
26,60,49,no,144.55
138,488,25,no,73.75
400,80,20,yes,59.0
534,262,17,yes,50.150000000000006
206,310,16,yes,47.2
720,88,36,no,106.2
738,482,21,yes,61.95
46,630,33,no,97.35000000000001
208,486,23,no,67.85000000000001
766,356,20,yes,59.0
354,56,40,no,118.0
