x,y,r (pixel),is_circle,r (um)
456,504,67,yes,67
690,312,48,yes,48
110,254,74,yes,74
666,510,65,yes,65
594,370,59,yes,59
484,466,99,no,99
748,218,75,yes,75
338,468,53,yes,53
132,458,78,no,78
554,142,68,yes,68
416,380,64,yes,64
588,584,99,no,99
370,174,68,yes,68
268,368,93,no,93
624,236,50,yes,50
684,100,67,yes,67
268,590,94,no,94
558,372,99,no,99
170,480,92,no,92
256,408,42,yes,42
776,534,54,no,54
132,244,99,no,99
474,252,95,no,95
158,460,70,no,70
358,588,60,yes,60
114,280,99,no,99
458,532,94,no,94
530,134,87,no,87
354,160,87,no,87
252,122,54,yes,54
368,568,80,no,80
570,564,46,yes,46
678,476,94,no,94
676,120,93,no,93
342,576,91,no,91
132,266,88,no,88
688,516,98,no,98
352,432,88,no,88
372,354,95,no,95
422,354,92,no,92
378,598,85,no,85
722,224,87,no,87
138,434,62,no,62
494,250,75,no,75
234,234,52,yes,52
338,250,96,no,96
806,368,80,yes,80
664,98,77,no,77
346,278,73,no,73
476,232,50,yes,50
500,336,32,yes,32
578,392,83,no,83
240,498,46,yes,46
54,70,70,yes,70
656,532,86,no,86
86,260,85,no,85
316,450,82,no,82
342,178,77,no,77
350,484,73,no,73
570,472,42,yes,42
598,346,65,no,65
584,242,87,no,87
478,514,84,no,84
116,570,69,no,69
398,342,76,no,76
470,482,71,no,71
512,418,46,no,46
226,126,85,no,85
442,486,74,no,74
616,214,66,no,66
828,620,46,yes,46
354,608,76,no,76
230,362,70,no,70
336,58,49,yes,49
152,112,81,no,81
316,256,40,yes,40
622,258,71,no,71
398,368,65,no,65
388,282,46,no,46
628,624,36,yes,36
30,368,61,yes,61
258,316,50,no,50
162,78,40,yes,40
682,394,39,yes,39
214,226,52,no,52
498,586,37,yes,37
720,670,67,yes,67
182,306,34,yes,34
118,348,52,no,52
212,620,37,yes,37
108,234,55,no,55
284,662,44,yes,44
558,546,43,no,43
554,488,63,no,63
88,578,38,no,38
136,356,41,yes,41
266,96,62,no,62
548,284,31,yes,31
474,208,61,no,61
178,162,34,yes,34
646,508,56,no,56
674,298,50,no,50
764,556,60,no,60
160,570,38,no,38
146,624,36,yes,36
526,396,50,no,50
566,158,48,no,48
318,322,28,yes,28
30,482,52,yes,52
326,378,36,yes,36
460,138,33,yes,33
570,26,51,yes,51
258,386,46,no,46
228,390,44,no,44
246,332,44,no,44
822,476,34,yes,34
50,616,25,yes,25
540,160,56,no,56
402,396,50,no,50
320,40,48,no,48
114,146,33,yes,33
562,300,51,no,51
756,528,48,no,48
210,558,29,yes,29
744,488,48,no,48
116,604,43,no,43
126,508,32,no,32
202,434,32,no,32
202,358,38,no,38
30,564,29,yes,29
630,434,30,yes,30
640,590,49,no,49
174,504,33,no,33
268,334,46,no,46
424,402,40,no,40
576,358,37,no,37
448,236,43,no,43
230,554,39,no,39
106,508,36,no,36
278,302,34,no,34
656,162,23,yes,23
322,482,38,no,38
614,364,38,no,38
54,160,23,yes,23
750,458,23,no,23
562,588,36,no,36
156,536,33,no,33
572,680,39,yes,39
