x,y,r (pixel),is_circle,r (um)
606,138,71,yes,71
568,400,87,yes,87
680,562,107,yes,107
746,366,94,yes,94
296,526,80,yes,80
636,262,60,yes,60
784,102,113,yes,113
460,234,105,yes,105
160,80,70,yes,70
286,174,74,yes,74
286,326,66,yes,66
330,32,77,yes,77
160,262,64,yes,64
484,56,74,yes,74
474,570,96,yes,96
186,422,57,yes,57
200,636,46,yes,46
400,412,77,yes,77
72,374,69,yes,69
610,4,61,yes,61
682,542,91,no,91
458,254,118,no,118
700,558,125,no,125
480,234,132,no,132
492,558,96,no,96
760,352,98,no,98
584,386,93,no,93
132,538,76,yes,76
314,516,100,no,100
722,364,118,no,118
92,370,81,no,81
420,408,91,no,91
436,230,128,no,128
178,252,68,no,68
66,352,83,no,83
458,214,130,no,130
302,186,96,no,96
282,542,96,no,96
266,184,88,no,88
366,606,35,yes,35
288,350,94,no,94
830,240,60,yes,60
406,392,77,no,77
632,138,96,no,96
206,414,63,no,63
562,378,72,no,72
190,400,78,no,78
186,94,100,no,100
306,544,71,no,71
276,306,87,no,87
262,330,62,no,62
476,544,77,no,77
742,342,72,no,72
498,244,92,no,92
