x,y,r (pixel),is_circle,r (um)
670,616,69,yes,69
236,474,81,yes,81
474,186,66,yes,66
328,136,81,yes,81
732,350,80,yes,80
290,616,71,yes,71
238,498,99,no,99
710,350,93,no,93
646,474,74,yes,74
490,204,90,no,90
362,396,60,yes,60
684,590,93,no,93
740,92,40,yes,40
752,360,99,no,99
446,174,90,no,90
662,486,87,no,87
596,352,63,yes,63
660,450,93,no,93
206,482,97,no,97
558,344,90,no,90
250,458,82,no,82
62,400,48,yes,48
606,314,99,no,99
138,546,52,yes,52
168,118,50,yes,50
554,536,66,no,66
594,90,88,no,88
632,452,84,no,84
470,524,53,yes,53
48,582,46,yes,46
746,332,83,no,83
348,134,91,no,91
258,320,62,yes,62
376,370,99,no,99
528,442,52,yes,52
362,272,47,yes,47
624,114,59,yes,59
354,510,46,yes,46
334,108,88,no,88
574,190,77,no,77
466,166,69,no,69
352,422,86,no,86
164,270,52,no,52
456,304,40,yes,40
252,604,80,no,80
460,202,84,no,84
66,158,62,yes,62
78,248,40,yes,40
776,204,48,yes,48
228,198,44,yes,44
182,620,34,yes,34
158,404,80,no,80
340,394,76,no,76
164,292,70,no,70
632,624,99,no,99
612,130,76,no,76
746,202,74,no,74
722,370,86,no,86
144,116,77,no,77
652,608,75,no,75
494,174,84,no,84
186,138,70,no,70
736,478,78,no,78
154,136,72,no,72
290,636,90,no,90
278,332,80,no,80
308,602,74,no,74
244,336,78,no,78
374,416,83,no,83
398,580,43,yes,43
372,294,80,no,80
186,96,78,no,78
634,86,72,no,72
830,494,56,yes,56
70,498,52,no,52
452,502,74,no,74
656,268,41,yes,41
118,540,64,no,64
756,540,40,yes,40
258,296,70,no,70
112,326,38,yes,38
400,44,34,yes,34
698,164,34,yes,34
332,158,63,no,63
722,108,63,no,63
62,476,52,no,52
450,410,35,yes,35
624,62,83,no,83
374,500,62,no,62
72,268,61,no,61
830,120,46,yes,46
530,270,43,no,43
504,360,34,yes,34
378,254,60,no,60
138,460,32,yes,32
134,392,52,no,52
626,196,40,no,40
486,540,69,no,69
272,606,55,no,55
566,600,37,no,37
484,650,74,yes,74
154,530,62,no,62
450,530,60,no,60
458,284,54,no,54
496,616,68,no,68
76,382,62,no,62
160,248,55,no,55
532,96,39,yes,39
124,612,66,no,66
674,178,62,no,62
300,224,33,yes,33
532,218,64,no,64
552,180,53,no,53
664,636,46,no,46
722,248,29,yes,29
448,324,62,no,62
580,542,54,no,54
718,462,48,no,48
208,186,59,no,59
510,418,61,no,61
68,130,60,no,60
416,468,36,no,36
48,648,31,yes,31
754,462,34,yes,34
212,560,33,yes,33
190,336,29,yes,29
554,220,50,no,50
280,246,41,no,41
100,630,54,no,54
434,354,25,yes,25
728,26,25,yes,25
574,320,56,no,56
136,516,48,no,48
636,492,54,no,54
128,312,54,no,54
116,660,36,yes,36
686,630,53,no,53
202,622,48,no,48
94,54,23,yes,23
238,40,46,yes,46
542,252,38,yes,38
704,320,53,no,53
46,388,49,no,49
662,202,27,no,27
184,264,43,no,43
468,92,32,no,32
242,112,27,yes,27
790,594,27,yes,27
162,196,31,no,31
422,102,28,yes,28
400,314,20,yes,20
594,236,24,yes,24
342,268,44,no,44
524,310,29,no,29
608,370,49,no,49
218,378,24,yes,24
640,254,40,no,40
80,172,40,no,40
828,406,23,yes,23
358,356,49,no,49
606,252,39,no,39
516,570,23,yes,23
58,308,19,yes,19
574,262,27,no,27
386,200,23,yes,23
682,38,20,yes,20
104,600,20,yes,20
574,362,45,no,45
762,188,36,no,36
178,598,34,no,34
166,332,34,no,34
84,222,40,no,40
160,174,36,no,36
344,528,40,no,40
422,252,24,yes,24
710,92,41,no,41
402,522,29,no,29
140,208,34,no,34
486,372,33,no,33
616,20,31,yes,31
774,420,29,yes,29
810,282,26,yes,26
142,566,32,no,32
814,478,30,no,30
62,182,36,no,36
646,114,33,no,33
564,50,25,yes,25
172,44,22,yes,22
110,426,12,yes,12
776,224,23,no,23
686,74,17,yes,17
686,468,36,no,36
28,280,27,no,27
514,638,25,no,25
350,292,31,no,31
510,54,29,no,29
