x,y,r (pixel),is_circle,r (um)
518,184,76,yes,76
562,322,59,yes,59
688,492,61,yes,61
318,178,63,yes,63
692,66,62,yes,62
802,138,58,yes,58
144,138,67,yes,67
474,64,39,yes,39
18,124,62,yes,62
370,588,70,yes,70
568,56,58,yes,58
396,396,70,yes,70
684,296,66,yes,66
310,480,54,yes,54
368,38,79,yes,79
162,424,62,yes,62
678,606,56,yes,56
370,286,46,yes,46
74,262,71,yes,71
694,182,49,yes,49
252,566,80,no,80
502,576,51,yes,51
272,380,55,yes,55
68,30,45,yes,45
208,246,46,yes,46
68,366,44,yes,44
456,290,45,yes,45
248,80,53,yes,53
786,572,56,yes,56
352,572,92,no,92
116,554,62,yes,62
622,130,33,yes,33
544,470,72,yes,72
150,30,42,yes,42
286,284,38,yes,38
448,488,42,yes,42
504,204,101,no,101
628,394,50,yes,50
162,116,95,no,95
330,198,86,no,86
796,266,42,yes,42
648,398,62,no,62
808,426,64,yes,64
536,172,93,no,93
230,558,75,no,75
598,548,50,no,50
308,196,87,no,87
576,652,51,yes,51
148,520,72,no,72
500,166,87,no,87
414,128,35,yes,35
498,384,38,yes,38
234,580,58,yes,58
110,656,44,yes,44
144,434,81,no,81
44,472,48,yes,48
622,220,37,yes,37
402,376,58,no,58
22,600,49,yes,49
678,474,66,no,66
196,330,37,yes,37
378,564,58,no,58
294,632,27,no,27
252,350,57,no,57
318,460,49,no,49
132,534,47,no,47
230,474,34,yes,34
290,470,32,no,32
