x,y,r (pixel),is_circle,r (um)
430,252,117,yes,176.67
380,216,178,no,268.78000000000003
122,450,87,yes,131.37
140,174,98,no,147.98
452,268,143,no,215.93
170,200,141,no,212.91
176,418,178,no,268.78000000000003
496,464,176,no,265.76
364,244,169,no,255.19
134,466,98,no,147.98
738,548,95,yes,143.45
376,318,197,no,297.47
640,284,185,no,279.35
484,282,177,no,267.27
158,488,133,no,200.83
380,194,168,no,253.68
476,532,159,no,240.09
380,258,147,no,221.97
190,172,170,no,256.7
180,440,164,no,247.64000000000001
672,344,195,no,294.45
386,238,163,no,246.13
470,506,133,no,200.83
366,294,191,no,288.41
380,530,155,no,234.05
154,414,199,no,300.49
612,286,199,no,300.49
406,300,196,no,295.96
406,204,190,no,286.9
424,220,143,no,215.93
476,230,170,no,256.7
436,488,96,yes,144.96
618,240,84,yes,126.84
138,228,160,no,241.6
286,382,82,yes,123.82000000000001
382,278,169,no,255.19
362,222,164,no,247.64000000000001
680,324,170,no,256.7
468,462,199,no,300.49
158,222,153,no,231.03
126,156,110,yes,166.1
410,492,102,no,154.02
114,220,143,no,215.93
124,190,111,no,167.61
422,276,141,no,212.91
710,360,67,yes,101.17
364,164,160,no,241.6
456,240,152,no,229.52
172,472,143,no,215.93
772,552,108,no,163.08
458,442,197,no,297.47
190,134,163,no,246.13
410,242,111,no,167.61
102,452,96,no,144.96
406,170,170,no,256.7
170,170,169,no,255.19
226,374,129,no,194.79
400,264,130,no,196.3
360,264,162,no,244.62
462,214,165,no,249.15
694,120,86,no,129.86
560,376,68,yes,102.68
154,460,119,no,179.69
304,396,105,no,158.55
364,184,143,no,215.93
656,270,159,no,240.09
428,512,121,no,182.71
120,488,120,no,181.2
612,352,163,no,246.13
374,506,147,no,221.97
148,150,115,no,173.65
326,642,90,yes,135.9
584,544,68,yes,102.68
90,204,165,no,249.15
384,158,141,no,212.91
676,224,133,no,200.83
150,204,129,no,194.79
482,250,181,no,273.31
586,330,172,no,259.72
106,162,115,no,173.65
714,118,75,yes,113.25
184,112,170,no,256.7
670,188,143,no,215.93
64,304,62,yes,93.62
578,64,97,yes,146.47
600,218,96,no,144.96
254,374,92,no,138.92
