x,y,r (pixel),is_circle,r (um)
502,294,52,yes,52
398,276,59,yes,59
700,74,51,yes,51
642,526,66,yes,66
674,508,98,no,98
806,60,57,yes,57
736,290,61,yes,61
674,402,70,no,70
188,628,53,yes,53
268,242,54,yes,54
724,620,53,yes,53
434,178,48,yes,48
348,586,64,no,64
550,132,36,yes,36
264,546,83,no,83
622,528,85,no,85
694,398,72,no,72
634,142,47,yes,47
580,218,46,yes,46
738,166,51,yes,51
136,508,52,yes,52
168,80,52,yes,52
552,604,80,no,80
716,290,78,no,78
354,476,61,no,61
398,358,83,no,83
474,76,59,no,59
538,430,38,yes,38
186,314,78,no,78
638,296,43,yes,43
732,470,38,yes,38
738,310,81,no,81
370,492,66,no,66
114,370,60,no,60
452,554,50,yes,50
440,368,49,yes,49
170,298,68,yes,68
658,386,65,no,65
278,514,69,no,69
240,538,58,yes,58
808,390,57,yes,57
534,592,50,yes,50
596,38,58,yes,58
350,388,47,yes,47
274,150,53,no,53
438,440,64,no,64
452,638,46,yes,46
316,312,37,yes,37
348,188,54,no,54
174,178,54,no,54
562,416,50,no,50
374,468,68,no,68
258,414,61,no,61
730,268,70,no,70
318,606,54,no,54
456,454,50,yes,50
46,528,42,yes,42
394,96,37,yes,37
252,386,73,no,73
100,144,72,no,72
78,132,54,yes,54
152,68,64,no,64
286,42,58,yes,58
52,386,47,no,47
86,282,45,no,45
118,390,42,yes,42
368,588,34,no,34
238,406,59,no,59
404,420,25,yes,25
740,632,38,no,38
86,450,33,yes,33
602,434,28,yes,28
528,504,40,yes,40
350,112,37,yes,37
758,544,48,no,48
412,106,32,no,32
512,376,23,yes,23
724,522,17,yes,17
790,372,51,no,51
252,322,27,yes,27
250,518,38,no,38
124,580,31,yes,31
420,356,46,no,46
666,214,37,yes,37
370,610,32,no,32
512,436,42,no,42
564,350,41,no,41
276,618,38,yes,38
790,222,34,yes,34
776,556,30,no,30
142,238,17,yes,17
86,338,27,yes,27
326,648,25,yes,25
476,398,16,yes,16
94,210,32,yes,32
510,184,30,yes,30
162,430,29,yes,29
412,568,34,no,34
636,550,43,no,43
726,184,43,no,43
802,410,40,no,40
184,216,33,no,33
492,144,21,yes,21
380,510,32,no,32
66,588,22,yes,22
140,482,39,no,39
264,222,40,no,40
58,510,28,no,28
682,82,32,no,32
210,632,30,no,30
486,96,37,no,37
164,490,31,no,31
560,582,23,no,23
184,96,29,no,29
538,274,28,no,28
408,466,27,no,27
644,638,18,no,18
266,30,38,no,38
436,536,36,no,36
192,604,32,no,32
398,500,29,no,29
214,464,27,no,27
224,170,29,no,29
36,636,18,yes,18
218,56,32,no,32
480,542,20,no,20
312,500,32,no,32
762,182,23,no,23
