x,y,r (pixel),is_circle,r (um)
652,78,23,yes,23
758,192,30,yes,30
536,356,35,yes,35
390,360,35,yes,35
448,386,31,yes,31
606,364,29,yes,29
396,420,29,yes,29
840,128,32,yes,32
764,260,39,yes,39
714,226,25,yes,25
818,188,29,yes,29
796,344,32,yes,32
184,536,33,yes,33
112,312,28,yes,28
138,364,24,yes,24
232,316,26,yes,26
728,354,36,yes,36
392,204,28,yes,28
700,408,27,yes,27
202,278,26,yes,26
754,38,27,yes,27
422,60,25,yes,25
262,464,22,yes,22
298,386,20,yes,20
440,546,27,yes,27
30,658,19,yes,19
146,646,27,yes,27
646,140,22,yes,22
142,488,25,yes,25
368,456,20,yes,20
698,118,30,yes,30
388,550,29,yes,29
696,46,31,yes,31
696,278,30,yes,30
578,498,20,yes,20
756,118,26,yes,26
350,510,35,yes,35
672,506,25,yes,25
748,612,20,yes,20
664,370,27,yes,27
104,256,26,yes,26
