x,y,r (pixel),is_circle,r (um)
154,238,67,no,197.65
606,288,40,yes,118.0
342,398,41,yes,120.95
102,636,38,yes,112.1
720,512,34,yes,100.3
800,554,54,yes,159.3
434,602,82,no,241.9
160,220,61,no,179.95000000000002
300,216,27,yes,79.65
672,596,38,yes,112.1
730,438,34,yes,100.3
94,466,34,yes,100.3
176,238,83,no,244.85
606,570,32,yes,94.4
214,406,34,yes,100.3
422,586,70,no,206.5
324,534,42,yes,123.9
274,378,27,yes,79.65
32,522,35,yes,103.25
564,458,38,yes,112.1
698,388,23,yes,67.85000000000001
676,106,33,yes,97.35
604,636,34,yes,100.3
398,592,66,no,194.7
420,494,32,yes,94.4
222,324,22,yes,64.9
82,550,21,yes,61.95
482,598,62,no,182.9
364,472,26,yes,76.7
256,638,24,yes,70.80000000000001
608,356,23,yes,67.85000000000001
296,600,31,yes,91.45
536,516,29,yes,85.55000000000001
658,534,25,yes,73.75
636,440,35,yes,103.25
150,432,33,yes,97.35
88,176,26,yes,76.7
560,244,23,yes,67.85000000000001
30,636,29,yes,85.55000000000001
230,506,39,no,115.05
740,608,29,yes,85.55000000000001
334,82,24,yes,70.80000000000001
680,472,22,yes,64.9
552,614,23,yes,67.85000000000001
724,660,28,yes,82.60000000000001
84,628,55,no,162.25
720,348,23,yes,67.85000000000001
798,474,28,yes,82.60000000000001
812,402,23,yes,67.85000000000001
514,434,21,yes,61.95
768,268,17,yes,50.150000000000006
496,582,42,no,123.9
286,480,28,yes,82.60000000000001
476,518,34,no,100.3
386,318,18,yes,53.1
270,178,22,yes,64.9
562,334,20,yes,59.0
812,308,18,yes,53.1
424,564,49,no,144.55
378,96,24,yes,70.80000000000001
682,262,22,yes,64.9
134,524,39,no,115.05
592,510,25,yes,73.75
124,126,19,yes,56.05
512,262,23,yes,67.85000000000001
216,68,17,yes,50.150000000000006
198,470,25,no,73.75
630,122,16,yes,47.2
170,340,16,yes,47.2
338,518,56,no,165.20000000000002
62,234,27,yes,79.65
796,202,21,yes,61.95
342,38,22,yes,64.9
392,178,20,yes,59.0
470,366,19,yes,56.05
114,516,17,yes,50.150000000000006
408,660,18,yes,53.1
736,378,14,yes,41.3
348,550,50,no,147.5
388,646,38,no,112.1
22,438,25,yes,73.75
350,330,15,yes,44.25
348,610,29,no,85.55000000000001
672,350,24,yes,70.80000000000001
128,324,15,yes,44.25
216,670,27,yes,79.65
584,40,22,yes,64.9
422,542,17,yes,50.150000000000006
452,636,29,no,85.55000000000001
294,432,25,no,73.75
686,40,21,yes,61.95
302,18,18,yes,53.1
738,230,17,yes,50.150000000000006
836,62,16,yes,47.2
388,240,12,yes,35.400000000000006
774,310,16,yes,47.2
386,144,15,yes,44.25
548,664,30,yes,88.5
540,570,25,yes,73.75
238,42,18,yes,53.1
442,580,38,no,112.1
456,552,24,no,70.80000000000001
478,404,20,yes,59.0
166,494,18,yes,53.1
612,220,16,yes,47.2
500,640,20,yes,59.0
650,160,14,yes,41.3
70,582,25,no,73.75
446,666,19,yes,56.05
340,582,17,yes,50.150000000000006
438,264,12,yes,35.400000000000006
732,564,16,yes,47.2
124,576,28,no,82.60000000000001
546,366,16,yes,47.2
304,94,12,yes,35.400000000000006
36,572,12,yes,35.400000000000006
54,90,12,yes,35.400000000000006
504,600,30,no,88.5
34,470,14,yes,41.3
566,546,12,yes,35.400000000000006
760,162,14,yes,41.3
38,64,10,yes,29.5
424,628,19,no,56.05
132,492,14,yes,41.3
708,54,10,yes,29.5
616,480,16,yes,47.2
444,522,12,yes,35.400000000000006
680,422,17,no,50.150000000000006
58,66,12,yes,35.400000000000006
