x,y,r (pixel),is_circle,r (um)
522,416,84,yes,84
678,458,61,yes,61
446,562,60,yes,60
542,94,73,yes,73
590,248,70,yes,70
400,266,77,yes,77
246,282,54,yes,54
596,584,73,yes,73
124,384,80,yes,80
802,540,62,yes,62
326,372,51,yes,51
666,138,51,yes,51
820,148,66,yes,66
192,142,58,no,58
144,376,67,no,67
696,558,34,yes,34
698,298,45,yes,45
412,248,81,no,81
430,140,38,yes,38
794,430,37,yes,37
388,456,42,yes,42
574,586,84,no,84
654,24,47,yes,47
834,304,82,yes,82
628,362,40,yes,40
740,68,35,yes,35
662,474,77,no,77
56,170,47,yes,47
92,82,34,yes,34
732,214,40,yes,40
156,46,40,yes,40
734,376,30,yes,30
144,258,35,yes,35
382,48,82,yes,82
348,532,30,yes,30
352,604,31,yes,31
30,252,29,yes,29
254,60,33,yes,33
312,212,30,yes,30
356,158,42,yes,42
234,408,32,yes,32
494,196,43,yes,43
298,468,40,yes,40
780,560,84,no,84
494,298,27,yes,27
282,542,25,yes,25
288,122,39,yes,39
494,652,37,yes,37
228,488,24,yes,24
180,464,31,yes,31
192,162,62,no,62
540,74,54,no,54
608,602,47,no,47
84,290,23,yes,23
588,564,53,no,53
816,128,37,no,37
114,202,22,yes,22
740,596,22,yes,22
142,356,47,no,47
