x,y,r (pixel),is_circle,r (um)
818,350,150,yes,117.0
600,216,109,yes,85.02
224,98,94,yes,73.32000000000001
424,338,105,yes,81.9
186,342,89,yes,69.42
430,598,69,yes,53.82
734,56,89,yes,69.42
110,212,53,yes,41.34
810,328,124,no,96.72
618,230,129,no,100.62
408,324,123,no,95.94
232,122,93,no,72.54
600,196,107,no,83.46000000000001
616,606,37,yes,28.86
832,330,175,no,136.5
580,210,112,no,87.36
746,72,95,no,74.10000000000001
780,674,61,yes,47.58
200,320,113,no,88.14
92,114,34,yes,26.52
430,318,78,no,60.84
202,88,130,no,101.4
242,88,113,no,88.14
166,336,96,no,74.88
378,226,25,yes,19.5
444,360,128,no,99.84
714,46,126,no,98.28
412,356,84,no,65.52
590,236,88,no,68.64
504,16,30,yes,23.400000000000002
812,372,167,no,130.26
580,188,73,no,56.940000000000005
174,360,76,no,59.28
660,676,42,yes,32.76
68,264,22,yes,17.16
90,662,25,yes,19.5
388,342,60,no,46.800000000000004
248,108,82,no,63.96
206,342,70,no,54.6
438,298,63,no,49.14
