x,y,r (pixel),is_circle,r (um)
596,266,47,yes,47
398,512,51,yes,51
578,116,48,yes,48
114,464,56,yes,56
658,178,53,yes,53
572,466,42,yes,42
526,214,34,yes,34
498,498,47,yes,47
682,606,44,yes,44
698,344,91,no,91
584,562,61,no,61
510,400,53,yes,53
768,530,51,yes,51
484,290,45,yes,45
780,300,64,no,64
446,444,29,yes,29
380,608,32,yes,32
582,192,24,yes,24
332,74,67,no,67
202,598,48,no,48
404,144,36,yes,36
202,380,57,yes,57
736,126,38,yes,38
468,586,60,yes,60
646,342,40,yes,40
62,620,45,no,45
688,532,25,yes,25
712,472,39,yes,39
600,396,34,yes,34
386,432,30,yes,30
616,274,67,no,67
708,236,31,yes,31
250,290,52,yes,52
374,218,31,yes,31
432,232,29,yes,29
126,326,56,no,56
656,88,33,yes,33
108,568,49,yes,49
500,148,33,yes,33
290,364,37,yes,37
756,178,23,yes,23
294,510,46,yes,46
376,380,24,yes,24
562,558,48,yes,48
434,364,32,yes,32
420,130,49,no,49
680,20,41,yes,41
336,164,39,yes,39
328,418,30,yes,30
32,146,32,yes,32
700,404,28,yes,28
654,426,40,no,40
278,584,39,yes,39
66,368,35,yes,35
640,468,32,yes,32
184,316,23,yes,23
108,104,44,yes,44
212,476,40,yes,40
618,50,30,no,30
190,50,60,yes,60
172,520,29,yes,29
568,342,24,yes,24
126,220,53,no,53
754,390,22,yes,22
660,240,22,yes,22
652,522,38,yes,38
812,34,37,yes,37
750,614,28,yes,28
608,656,40,yes,40
170,132,25,yes,25
794,210,25,yes,25
690,310,15,yes,15
70,268,24,yes,24
528,72,16,yes,16
114,42,25,yes,25
752,238,24,yes,24
264,34,23,yes,23
740,24,22,yes,22
548,162,18,yes,18
710,78,25,no,25
790,594,23,yes,23
760,58,18,yes,18
266,192,28,yes,28
778,76,20,yes,20
740,432,21,yes,21
