x,y,r (pixel),is_circle,r (um)
578,148,31,yes,31
690,442,33,yes,33
568,502,32,yes,32
118,534,33,yes,33
198,572,25,yes,25
550,260,27,yes,27
250,434,32,yes,32
632,130,29,yes,29
294,310,47,yes,47
240,102,32,yes,32
736,484,29,yes,29
486,92,35,yes,35
498,222,27,yes,27
236,526,40,yes,40
556,444,28,yes,28
532,52,25,yes,25
722,334,27,yes,27
806,596,24,yes,24
552,200,28,yes,28
348,614,27,yes,27
760,250,28,yes,28
816,528,26,yes,26
528,346,35,yes,35
330,40,26,yes,26
684,120,24,yes,24
686,596,17,yes,17
200,466,29,yes,29
364,434,19,yes,19
758,86,45,no,45
632,464,29,yes,29
358,510,25,yes,25
720,618,20,yes,20
102,372,53,no,53
186,404,35,no,35
194,146,32,yes,32
718,158,27,yes,27
446,430,25,yes,25
674,388,22,yes,22
674,346,24,yes,24
780,502,22,yes,22
660,50,22,yes,22
138,236,29,yes,29
56,620,22,yes,22
596,588,19,yes,19
768,304,24,yes,24
626,660,20,yes,20
64,658,19,yes,19
290,188,19,yes,19
516,420,18,yes,18
464,498,38,yes,38
722,388,29,yes,29
642,598,28,yes,28
116,296,28,yes,28
770,398,20,yes,20
312,630,16,yes,16
682,252,25,yes,25
676,558,23,yes,23
376,306,29,yes,29
370,178,24,yes,24
216,318,22,yes,22
764,22,21,yes,21
554,96,35,yes,35
282,570,32,yes,32
418,542,32,yes,32
42,482,30,yes,30
74,446,25,yes,25
382,476,22,yes,22
548,394,20,yes,20
794,136,38,no,38
768,560,32,yes,32
106,636,30,yes,30
186,618,23,yes,23
556,594,23,yes,23
426,620,32,yes,32
168,276,32,no,32
240,610,27,yes,27
638,364,25,yes,25
574,56,24,yes,24
180,658,20,yes,20
700,290,19,yes,19
506,386,18,yes,18
526,488,14,yes,14
840,312,35,yes,35
74,22,22,yes,22
190,92,21,yes,21
524,620,18,yes,18
366,544,14,yes,14
446,312,26,yes,26
600,290,24,yes,24
500,646,23,yes,23
512,454,23,yes,23
718,534,23,yes,23
250,42,22,yes,22
428,392,22,yes,22
530,534,20,yes,20
660,636,18,yes,18
150,622,17,yes,17
398,200,16,yes,16
780,200,26,yes,26
346,266,21,yes,21
382,122,21,yes,21
278,622,20,yes,20
438,66,19,yes,19
486,418,16,yes,16
228,368,30,no,30
572,366,19,yes,19
572,554,17,yes,17
640,410,26,yes,26
212,274,24,yes,24
36,374,23,yes,23
666,306,22,no,22
630,324,22,yes,22
316,498,20,yes,20
310,154,19,yes,19
424,180,18,yes,18
274,474,25,yes,25
40,92,20,yes,20
382,576,18,yes,18
814,56,15,yes,15
34,286,23,yes,23
694,206,22,yes,22
368,88,21,yes,21
344,468,19,yes,19
734,52,18,yes,18
514,182,18,yes,18
602,348,16,yes,16
472,362,33,no,33
442,222,31,yes,31
208,198,24,yes,24
332,544,23,yes,23
98,480,22,yes,22
638,274,21,yes,21
764,436,20,yes,20
592,108,17,yes,17
790,464,16,yes,16
132,438,30,yes,30
264,154,26,yes,26
120,584,22,yes,22
724,110,20,yes,20
656,90,19,yes,19
150,364,19,yes,19
748,180,16,yes,16
34,328,24,yes,24
826,630,22,yes,22
494,542,22,yes,22
154,36,17,yes,17
148,76,25,yes,25
698,72,22,yes,22
600,386,18,yes,18
212,64,17,yes,17
70,576,17,yes,17
216,644,15,yes,15
326,580,15,yes,15
584,630,24,yes,24
674,166,24,yes,24
154,116,22,yes,22
146,158,20,yes,20
326,356,18,yes,18
162,586,17,yes,17
36,50,27,yes,27
350,138,22,yes,22
392,646,18,yes,18
514,578,24,yes,24
52,200,18,yes,18
470,146,18,yes,18
236,472,18,yes,18
288,512,17,yes,17
110,338,16,yes,16
556,20,15,yes,15
542,562,10,yes,10
520,144,24,yes,24
384,242,24,yes,24
650,216,19,yes,19
158,552,17,yes,17
708,572,14,yes,14
364,54,14,yes,14
416,466,12,yes,12
616,236,24,yes,24
74,126,22,yes,22
80,312,19,yes,19
590,462,16,yes,16
480,446,15,yes,15
616,626,12,yes,12
464,568,27,yes,27
176,332,22,yes,22
434,102,21,yes,21
252,198,18,yes,18
716,236,18,yes,18
614,494,15,yes,15
132,484,17,yes,17
618,170,17,yes,17
144,396,14,yes,14
730,208,17,yes,17
36,440,16,yes,16
318,422,15,yes,15
160,494,15,yes,15
460,648,15,yes,15
798,384,14,yes,14
330,442,12,yes,12
614,82,22,yes,22
314,390,16,yes,16
810,350,14,yes,14
792,36,12,yes,12
562,302,19,yes,19
824,188,16,yes,16
622,202,15,yes,15
36,172,21,yes,21
36,408,15,yes,15
72,350,15,yes,15
428,660,15,yes,15
780,338,14,yes,14
304,458,14,yes,14
342,648,14,yes,14
436,148,14,yes,14
186,362,13,yes,13
