x,y,r (pixel),is_circle,r (um)
196,360,104,yes,104
170,154,82,yes,82
560,100,82,yes,82
314,224,76,yes,76
602,590,124,yes,124
334,50,99,yes,99
438,166,54,yes,54
314,42,113,no,113
188,552,82,yes,82
580,104,102,no,102
536,270,75,yes,75
392,428,99,yes,99
730,244,70,yes,70
604,84,126,no,126
722,114,82,no,82
536,108,113,no,113
182,130,127,no,127
730,134,76,no,76
700,110,52,no,52
160,176,101,no,101
564,120,100,no,100
732,264,70,no,70
326,594,86,yes,86
550,288,99,no,99
588,558,89,no,89
444,534,44,yes,44
62,68,66,no,66
634,186,44,yes,44
150,146,99,no,99
752,256,78,no,78
536,412,51,yes,51
676,332,70,no,70
400,398,68,no,68
754,118,51,no,51
206,576,101,no,101
42,84,60,yes,60
174,534,82,no,82
444,630,55,no,55
676,362,53,no,53
282,478,46,yes,46
736,98,36,no,36
342,230,42,no,42
680,98,38,no,38
770,514,41,no,41
648,280,28,yes,28
782,120,37,no,37
712,276,49,no,49
332,252,44,no,44
360,52,89,no,89
740,212,34,no,34
