x,y,r (pixel),is_circle,r (um)
140,212,89,yes,89
516,242,69,yes,69
650,250,67,yes,67
282,538,63,yes,63
378,280,103,no,103
396,74,51,yes,51
406,308,63,yes,63
284,158,64,yes,64
476,594,76,yes,76
180,68,61,yes,61
722,510,71,yes,71
148,232,108,no,108
596,118,76,yes,76
712,462,115,no,115
508,386,101,no,101
694,378,71,yes,71
404,186,66,yes,66
554,368,68,yes,68
120,182,124,no,124
536,376,88,no,88
150,194,70,no,70
574,534,107,no,107
494,574,103,no,103
168,210,89,no,89
720,398,103,no,103
294,386,108,no,108
170,362,118,no,118
260,328,59,yes,59
314,404,118,no,118
762,518,101,no,101
546,392,111,no,111
186,476,60,yes,60
626,562,54,yes,54
462,418,75,no,75
146,362,67,yes,67
606,98,98,no,98
782,200,61,yes,61
54,462,73,yes,73
190,194,105,no,105
118,214,93,no,93
628,90,89,no,89
762,38,81,yes,81
806,316,61,yes,61
706,634,58,yes,58
528,486,50,yes,50
704,518,91,no,91
496,38,58,yes,58
116,556,49,yes,49
734,540,95,no,95
432,434,71,no,71
666,236,86,no,86
624,246,85,no,85
246,244,35,yes,35
168,244,111,no,111
332,424,63,yes,63
386,308,83,no,83
426,300,83,no,83
30,302,60,yes,60
200,336,90,no,90
494,234,90,no,90
610,466,53,no,53
68,98,54,yes,54
178,380,89,no,89
314,180,89,no,89
154,386,88,no,88
354,416,85,no,85
174,172,101,no,101
574,378,76,no,76
602,568,73,no,73
708,356,72,no,72
560,348,95,no,95
728,628,80,no,80
384,180,78,no,78
534,230,64,no,64
378,514,56,no,56
666,384,82,no,82
534,356,81,no,81
84,84,74,no,74
746,506,66,no,66
468,438,72,no,72
456,588,79,no,79
762,196,75,no,75
796,422,49,yes,49
772,20,97,no,97
672,362,90,no,90
62,444,54,no,54
690,400,80,no,80
394,162,80,no,80
504,258,63,no,63
250,412,31,yes,31
334,446,81,no,81
294,38,60,yes,60
262,158,63,no,63
488,130,38,yes,38
156,342,46,no,46
354,576,31,yes,31
96,110,72,no,72
782,318,60,no,60
694,156,39,yes,39
576,112,95,no,95
326,382,75,no,75
532,510,70,no,70
352,308,70,no,70
792,596,54,no,54
326,252,43,yes,43
460,392,66,no,66
704,614,54,no,54
714,376,69,no,69
532,256,48,no,48
536,206,68,no,68
414,166,56,no,56
630,458,45,no,45
76,468,44,no,44
42,322,37,no,37
746,482,71,no,71
578,358,64,no,64
240,308,57,no,57
344,512,59,no,59
504,596,73,no,73
200,62,63,no,63
422,320,44,no,44
452,498,32,no,32
506,466,51,no,51
394,524,31,no,31
770,58,60,no,60
280,342,47,no,47
792,658,38,yes,38
306,140,61,no,61
248,468,58,no,58
500,212,59,no,59
632,226,56,no,56
466,616,54,no,54
424,196,34,no,34
648,272,51,no,51
786,180,46,no,46
604,444,39,no,39
670,262,43,no,43
430,476,41,no,41
570,404,58,no,58
296,196,51,no,51
260,448,40,no,40
776,424,42,no,42
248,344,40,no,40
114,72,36,no,36
684,222,39,no,39
804,404,38,no,38
378,384,35,no,35
214,454,25,no,25
628,538,28,no,28
548,494,27,no,27
714,536,41,no,41
586,88,39,no,39
800,206,38,no,38
540,470,36,no,36
52,426,29,no,29
458,254,28,no,28
54,490,27,no,27
276,518,43,no,43
552,256,32,no,32
608,140,41,no,41
42,444,36,no,36
198,492,33,no,33
356,436,32,no,32
272,138,41,no,41
172,50,31,no,31
590,400,30,no,30
398,392,28,no,28
820,296,30,no,30
598,650,33,no,33
206,88,28,no,28
290,312,27,no,27
382,476,26,no,26
206,392,24,no,24
312,506,21,no,21
142,538,21,no,21
352,208,29,no,29
174,458,27,no,27
292,556,33,no,33
492,492,33,no,33
434,158,32,no,32
290,266,22,no,22
