x,y,r (pixel),is_circle,r (um)
598,144,109,yes,109
756,398,121,no,121
338,206,115,no,115
324,228,135,yes,135
618,564,70,yes,70
168,292,49,yes,49
396,440,88,yes,88
746,576,58,yes,58
372,202,145,no,145
742,414,137,yes,137
194,570,114,no,114
806,118,70,yes,70
446,92,49,yes,49
556,338,72,yes,72
218,556,98,yes,98
358,42,55,yes,55
138,180,72,yes,72
612,162,132,no,132
414,452,125,no,125
398,418,85,no,85
242,374,75,no,75
214,576,115,no,115
348,226,119,no,119
620,142,124,no,124
420,418,104,no,104
376,440,97,no,97
634,540,74,no,74
728,230,54,yes,54
496,506,37,yes,37
572,320,70,no,70
638,568,92,no,92
378,472,104,no,104
236,572,92,no,92
266,364,65,no,65
836,248,57,yes,57
166,184,85,no,85
182,552,96,no,96
450,626,85,no,85
64,250,43,yes,43
110,382,78,no,78
154,160,70,no,70
220,532,85,no,85
476,256,31,yes,31
506,408,38,yes,38
188,300,62,no,62
570,448,42,yes,42
186,276,51,no,51
242,396,54,yes,54
352,544,31,yes,31
306,244,73,no,73
256,582,62,no,62
80,392,66,no,66
