x,y,r (pixel),is_circle,r (um)
260,424,97,yes,97
624,636,143,yes,143
110,218,126,yes,126
638,238,87,yes,87
474,370,127,yes,127
436,172,78,yes,78
686,404,89,yes,89
390,574,100,yes,100
452,374,143,no,143
286,96,88,yes,88
310,258,78,yes,78
126,204,107,no,107
486,352,104,no,104
52,430,114,yes,114
788,278,70,yes,70
638,620,121,no,121
778,114,106,yes,106
424,334,188,no,188
208,602,87,yes,87
476,404,156,no,156
450,338,173,no,173
502,366,121,no,121
100,196,149,no,149
464,352,143,no,143
494,384,104,no,104
432,378,163,no,163
418,538,145,no,145
158,198,118,no,118
582,50,100,yes,100
282,446,127,no,127
660,406,109,no,109
312,94,86,no,86
410,558,126,no,126
146,254,175,no,175
84,220,146,no,146
514,384,144,no,144
226,614,108,no,108
410,586,78,no,78
88,178,153,no,153
124,238,149,no,149
254,404,118,no,118
192,588,108,no,108
452,194,106,no,106
230,428,126,no,126
266,98,108,no,108
712,394,88,no,88
676,386,102,no,102
506,346,123,no,123
300,128,121,no,121
616,220,123,no,123
662,232,87,no,87
670,252,107,no,107
328,244,100,no,100
458,394,152,no,152
432,354,169,no,169
302,444,124,no,124
634,594,97,no,97
708,416,114,no,114
130,182,86,no,86
534,360,140,no,140
274,408,76,no,76
150,224,132,no,132
782,136,129,no,129
656,210,88,no,88
678,218,109,no,109
70,420,91,no,91
500,322,131,no,131
620,656,162,no,162
298,422,101,no,101
428,572,100,no,100
328,110,108,no,108
614,240,107,no,107
414,160,103,no,103
550,44,132,no,132
802,100,98,no,98
372,564,120,no,120
150,180,107,no,107
72,452,78,no,78
456,162,72,no,72
170,216,141,no,141
590,32,108,no,108
764,96,101,no,101
224,588,72,no,72
80,200,141,no,141
438,546,123,no,123
102,438,121,no,121
586,72,79,no,79
498,404,82,no,82
278,120,112,no,112
150,14,69,no,69
706,366,110,no,110
248,592,92,no,92
336,262,85,no,85
426,46,44,yes,44
568,32,114,no,114
300,240,94,no,94
422,196,77,no,77
660,636,145,no,145
322,280,48,no,48
642,646,177,no,177
456,142,86,no,86
174,238,122,no,122
396,542,94,no,94
660,614,174,no,174
608,618,149,no,149
522,328,109,no,109
100,236,107,no,107
280,74,96,no,96
612,32,121,no,121
654,264,51,no,51
572,90,88,no,88
566,62,79,no,79
400,608,78,no,78
808,270,71,no,71
82,404,82,no,82
194,164,73,no,73
334,78,76,no,76
520,406,76,no,76
602,456,45,no,45
436,598,87,no,87
118,258,70,no,70
800,298,47,no,47
542,414,52,no,52
702,436,45,no,45
80,472,57,no,57
446,40,51,no,51
282,466,50,no,50
804,120,88,no,88
312,148,67,no,67
576,470,40,no,40
234,406,65,no,65
352,564,84,no,84
346,98,53,no,53
526,50,48,no,48
694,196,55,no,55
144,276,51,no,51
154,506,36,no,36
184,190,48,no,48
344,58,51,no,51
690,136,28,no,28
482,426,59,no,59
394,148,40,no,40
236,638,37,no,37
310,532,32,no,32
324,418,32,no,32
366,166,30,no,30
