x,y,r (pixel),is_circle,r (um)
410,486,78,yes,78
230,538,103,no,103
254,538,91,yes,91
682,354,101,no,101
642,256,106,no,106
742,520,80,yes,80
556,392,107,no,107
572,526,107,no,107
186,356,62,yes,62
760,222,73,no,73
154,144,69,yes,69
344,104,107,no,107
98,460,75,yes,75
574,372,105,no,105
538,376,90,no,90
578,490,110,no,110
432,486,92,no,92
684,164,56,no,56
586,206,52,yes,52
280,406,46,yes,46
562,88,49,yes,49
374,96,68,yes,68
554,536,105,no,105
422,462,73,no,73
526,398,66,yes,66
716,492,105,no,105
596,502,82,no,82
782,226,75,no,75
318,298,63,yes,63
758,176,88,no,88
664,284,66,no,66
568,162,89,no,89
676,390,68,no,68
640,288,78,no,78
712,542,113,no,113
652,310,63,no,63
120,116,92,no,92
716,390,53,no,53
450,608,60,yes,60
670,256,82,no,82
88,604,66,yes,66
680,188,56,no,56
494,164,53,yes,53
222,50,47,yes,47
382,486,104,no,104
272,114,44,yes,44
476,172,71,no,71
446,468,101,no,101
772,200,49,yes,49
134,140,89,no,89
736,368,75,no,75
172,340,71,no,71
394,204,43,yes,43
746,240,63,no,63
632,342,54,no,54
476,260,45,yes,45
682,44,82,no,82
120,462,64,no,64
430,340,42,yes,42
714,366,68,no,68
478,150,60,no,60
534,504,84,no,84
602,626,48,yes,48
40,382,38,yes,38
398,460,82,no,82
558,510,66,no,66
650,46,69,no,69
684,272,67,no,67
704,126,56,no,56
748,302,41,yes,41
662,200,48,no,48
754,58,34,yes,34
738,120,61,no,61
580,186,51,no,51
534,354,63,no,63
646,412,52,no,52
498,262,56,no,56
612,178,61,no,61
170,244,41,yes,41
618,198,56,no,56
368,382,38,yes,38
54,38,36,yes,36
488,74,31,yes,31
254,206,50,yes,50
778,108,27,yes,27
566,266,49,no,49
696,388,53,yes,53
582,286,53,no,53
620,410,44,no,44
600,590,51,no,51
398,98,63,no,63
78,180,32,yes,32
628,362,38,no,38
664,624,59,no,59
40,110,43,yes,43
562,288,41,yes,41
502,142,50,no,50
652,338,42,no,42
130,24,40,yes,40
620,132,30,yes,30
98,484,46,no,46
744,324,36,no,36
326,184,28,yes,28
432,596,73,no,73
644,482,38,no,38
804,372,50,no,50
708,174,41,no,41
672,26,64,no,64
404,508,55,no,55
790,90,28,no,28
604,216,47,no,47
108,608,44,no,44
762,286,35,no,35
704,194,31,no,31
614,606,51,no,51
136,536,25,yes,25
636,430,38,yes,38
684,606,38,no,38
476,284,32,no,32
562,352,41,no,41
688,294,31,no,31
546,412,41,no,41
660,138,24,yes,24
708,230,27,no,27
710,258,22,yes,22
520,308,21,yes,21
238,276,28,yes,28
56,530,24,yes,24
522,436,29,no,29
98,86,24,yes,24
574,46,32,no,32
690,436,20,no,20
502,386,33,no,33
604,326,22,no,22
638,160,15,yes,15
742,272,26,no,26
