x,y,r (pixel),is_circle,r (um)
420,142,141,yes,141
658,292,111,yes,111
248,438,88,yes,88
202,254,80,yes,80
448,392,92,yes,92
758,574,89,yes,89
114,44,138,yes,138
790,128,100,yes,100
472,588,84,yes,84
472,414,142,no,142
684,290,124,no,124
440,148,163,no,163
414,122,126,no,126
616,526,61,yes,61
464,132,153,no,153
664,316,151,no,151
396,154,151,no,151
636,306,124,no,124
678,250,176,no,176
236,454,119,no,119
438,122,168,no,168
332,556,44,yes,44
696,316,155,no,155
624,332,146,no,146
462,378,133,no,133
680,270,118,no,118
98,526,66,yes,66
650,232,155,no,155
462,172,178,no,178
706,282,139,no,139
438,588,122,no,122
100,504,104,no,104
422,164,158,no,158
24,252,77,yes,77
706,442,57,yes,57
654,264,129,no,129
640,478,126,no,126
632,282,123,no,123
220,436,116,no,116
220,652,84,yes,84
112,368,54,yes,54
264,424,78,no,78
478,362,111,no,111
438,98,188,no,188
394,134,149,no,149
272,452,109,no,109
432,406,111,no,111
284,422,96,no,96
614,306,143,no,143
634,538,92,no,92
398,174,133,no,133
482,390,107,no,107
460,570,107,no,107
648,332,136,no,136
808,112,90,no,90
504,554,106,no,106
642,660,67,yes,67
574,420,46,yes,46
504,352,136,no,136
112,484,89,no,89
132,358,75,no,75
268,398,109,no,109
494,602,108,no,108
222,250,86,no,86
648,8,81,no,81
768,550,97,no,97
492,570,89,no,89
778,578,103,no,103
116,534,79,no,79
638,512,69,no,69
244,662,134,no,134
442,368,119,no,119
428,384,89,no,89
788,552,85,no,85
456,602,66,no,66
186,270,104,no,104
598,134,60,no,60
136,496,78,no,78
120,514,66,no,66
238,236,92,no,92
736,578,101,no,101
820,130,108,no,108
198,234,73,no,73
594,526,84,no,84
134,378,77,no,77
120,342,63,no,63
788,108,70,no,70
414,102,111,no,111
452,412,74,no,74
350,538,62,no,62
764,360,41,yes,41
770,132,80,no,80
130,58,118,no,118
806,152,107,no,107
246,408,71,no,71
216,270,68,no,68
724,416,59,no,59
518,588,76,no,76
706,256,97,no,97
394,112,104,no,104
622,262,65,no,65
222,630,64,no,64
852,278,57,no,57
360,680,42,yes,42
238,264,97,no,97
392,92,90,no,90
168,530,17,yes,17
416,420,71,no,71
736,556,44,no,44
604,330,47,no,47
182,248,52,no,52
36,268,83,no,83
618,506,50,no,50
644,354,49,no,49
98,548,43,no,43
186,290,38,no,38
274,626,58,no,58
228,418,55,no,55
600,292,55,no,55
786,162,50,no,50
730,436,46,no,46
492,622,59,no,59
100,386,34,no,34
220,478,25,no,25
