x,y,r (pixel),is_circle,r (um)
354,520,60,yes,60
300,314,45,yes,45
84,406,55,yes,55
410,424,51,yes,51
360,72,47,yes,47
642,546,43,yes,43
382,308,32,yes,32
632,430,63,yes,63
410,616,53,yes,53
716,266,53,yes,53
570,610,49,yes,49
754,58,51,yes,51
508,468,52,yes,52
198,120,28,yes,28
94,156,72,yes,72
176,454,43,yes,43
242,388,43,yes,43
466,196,29,yes,29
622,450,83,no,83
250,242,39,yes,39
758,422,32,yes,32
164,280,82,no,82
718,116,65,no,65
186,306,62,no,62
416,56,53,no,53
728,536,46,no,46
740,358,36,yes,36
808,252,31,yes,31
116,546,56,yes,56
280,94,49,yes,49
814,154,57,yes,57
640,174,46,no,46
636,302,52,no,52
438,130,32,yes,32
820,312,28,yes,28
638,64,39,yes,39
186,180,28,yes,28
36,590,39,yes,39
798,370,32,yes,32
246,524,43,yes,43
556,170,52,no,52
696,114,48,yes,48
640,610,28,no,28
62,42,40,yes,40
738,70,38,no,38
84,256,38,yes,38
818,548,51,yes,51
160,382,32,no,32
202,592,28,yes,28
714,388,36,no,36
242,454,27,yes,27
230,184,19,yes,19
722,476,36,yes,36
60,660,35,yes,35
392,52,28,yes,28
738,174,24,yes,24
322,394,40,yes,40
502,40,36,yes,36
764,622,37,yes,37
136,646,38,yes,38
678,346,36,no,36
90,320,27,yes,27
522,128,29,no,29
148,228,29,yes,29
588,356,22,yes,22
322,650,35,yes,35
