x,y,r (pixel),is_circle,r (um)
488,578,47,yes,138.65
570,280,48,yes,141.60000000000002
148,506,59,yes,174.05
512,484,51,yes,150.45000000000002
578,558,46,yes,135.70000000000002
746,594,53,yes,156.35000000000002
264,516,47,yes,138.65
384,210,46,yes,135.70000000000002
676,294,52,yes,153.4
480,224,51,yes,150.45000000000002
768,256,41,yes,120.95
644,392,46,yes,135.70000000000002
416,112,61,yes,179.95000000000002
258,326,49,yes,144.55
398,556,40,yes,118.0
232,440,37,yes,109.15
168,378,53,yes,156.35000000000002
764,340,40,yes,118.0
532,372,47,yes,138.65
704,202,42,yes,123.9
212,252,41,yes,120.95
784,96,34,yes,100.30000000000001
632,112,47,yes,138.65
782,170,40,yes,118.0
618,206,39,yes,115.05000000000001
666,484,50,yes,147.5
266,188,49,yes,144.55
436,342,42,yes,123.9
376,422,57,yes,168.15
264,612,47,yes,138.65
330,76,39,yes,115.05000000000001
558,158,40,yes,118.0
466,410,37,yes,109.15
154,188,50,yes,147.5
792,26,36,yes,106.2
122,278,57,yes,168.15
496,138,27,yes,79.65
732,414,39,yes,115.05000000000001
344,148,27,yes,79.65
62,172,50,yes,147.5
520,72,48,yes,141.60000000000002
48,82,38,yes,112.10000000000001
762,498,41,yes,120.95
36,416,47,yes,138.65
496,302,31,yes,91.45
114,48,40,yes,118.0
184,104,40,yes,118.0
414,648,50,yes,147.5
646,614,46,yes,135.70000000000002
698,34,51,yes,150.45000000000002
712,118,44,yes,129.8
330,564,30,yes,88.5
448,32,29,yes,85.55000000000001
250,58,38,yes,112.10000000000001
344,500,37,yes,109.15
46,282,33,yes,97.35000000000001
94,612,30,yes,88.5
202,560,30,yes,88.5
192,306,24,yes,70.80000000000001
88,350,33,yes,97.35000000000001
334,634,30,yes,88.5
296,122,27,yes,79.65
530,476,74,no,218.3
432,480,32,yes,94.4
822,300,34,yes,100.30000000000001
148,662,45,yes,132.75
150,588,31,yes,91.45
90,556,27,yes,79.65
360,328,40,yes,118.0
288,416,38,yes,112.10000000000001
74,472,24,yes,70.80000000000001
116,120,29,yes,85.55000000000001
14,560,39,yes,115.05000000000001
420,270,31,yes,91.45
704,356,22,yes,64.9
670,150,21,yes,61.95
572,426,34,yes,100.30000000000001
104,214,23,yes,67.85000000000001
106,432,26,yes,76.7
68,514,22,yes,64.9
590,482,27,yes,79.65
638,536,22,yes,64.9
682,550,22,yes,64.9
306,448,34,yes,100.30000000000001
324,256,36,yes,106.2
382,28,30,yes,88.5
52,584,22,no,64.9
214,146,20,yes,59.0
210,656,22,yes,64.9
188,384,36,no,106.2
26,490,25,yes,73.75
368,596,20,yes,59.0
552,212,21,yes,61.95
66,238,17,yes,50.150000000000006
180,438,16,yes,47.2
732,478,26,no,76.7
248,122,18,yes,53.1
134,404,21,no,61.95
584,72,17,yes,50.150000000000006
