x,y,r (pixel),is_circle,r (um)
370,318,60,yes,60
56,256,47,yes,47
278,620,60,yes,60
772,426,55,yes,55
422,224,46,yes,46
770,216,60,yes,60
154,266,54,yes,54
656,420,61,yes,61
258,310,52,yes,52
220,172,61,yes,61
570,308,62,yes,62
704,126,48,yes,48
628,192,51,yes,51
496,620,47,yes,47
572,116,40,yes,40
80,422,54,yes,54
230,520,52,yes,52
172,368,50,yes,50
404,424,53,yes,53
472,350,48,yes,48
260,78,42,yes,42
502,508,46,yes,46
336,44,40,yes,40
636,40,64,yes,64
742,568,45,yes,45
132,100,53,yes,53
592,298,64,no,64
534,208,44,yes,44
334,524,51,yes,51
592,514,42,yes,42
424,562,45,yes,45
560,438,40,yes,40
470,130,61,yes,61
756,24,59,yes,59
56,626,43,yes,43
66,176,32,yes,32
804,114,48,yes,48
338,218,39,yes,39
498,40,38,yes,38
614,602,43,yes,43
38,110,41,yes,41
486,266,34,yes,34
394,666,64,yes,64
158,468,36,yes,36
350,510,53,no,53
170,600,53,no,53
436,42,44,no,44
92,328,39,no,39
790,212,61,no,61
666,548,32,yes,32
304,406,54,yes,54
816,586,30,yes,30
376,116,40,yes,40
194,32,37,yes,37
296,608,60,no,60
306,134,33,yes,33
708,638,39,yes,39
222,432,35,yes,35
686,268,46,yes,46
378,174,24,yes,24
38,32,38,yes,38
734,344,47,no,47
820,514,49,yes,49
780,652,44,yes,44
104,528,75,no,75
438,548,48,no,48
494,418,29,yes,29
672,408,61,no,61
534,376,26,yes,26
442,214,53,no,53
708,488,43,no,43
174,274,66,no,66
586,378,25,yes,25
148,170,24,yes,24
490,338,51,no,51
110,316,45,no,45
114,204,26,yes,26
114,6,43,yes,43
644,336,24,yes,24
242,170,43,no,43
