x,y,r (pixel),is_circle,r (um)
768,184,175,yes,175
428,322,196,yes,196
448,322,163,no,163
802,518,163,yes,163
456,404,247,no,247
406,328,198,no,198
454,356,239,no,239
264,652,172,yes,172
494,280,281,no,281
478,380,230,no,230
448,302,168,no,168
480,296,261,no,261
436,342,183,no,183
522,270,310,no,310
552,348,267,no,267
484,358,214,no,214
782,202,196,no,196
372,386,321,no,321
496,392,294,no,294
390,312,221,no,221
364,342,341,no,341
562,376,306,no,306
534,398,286,no,286
394,426,280,no,280
478,408,259,no,259
540,378,287,no,287
460,424,259,no,259
514,318,223,no,223
284,638,147,no,147
784,508,144,no,144
446,384,260,no,260
498,340,215,no,215
532,346,253,no,253
414,348,202,no,202
510,410,274,no,274
416,264,262,no,262
474,326,193,no,193
748,176,154,no,154
356,368,346,no,346
380,412,299,no,299
570,554,104,no,104
574,342,268,no,268
784,164,157,no,157
508,372,249,no,249
412,370,220,no,220
816,188,186,no,186
416,306,177,no,177
394,386,298,no,298
356,296,259,no,259
796,122,243,no,243
518,296,230,no,230
804,208,175,no,175
384,350,226,no,226
464,448,290,no,290
788,142,221,no,221
794,184,165,no,165
818,532,153,no,153
798,232,231,no,231
574,316,286,no,286
752,206,148,no,148
420,394,237,no,237
440,268,211,no,211
490,314,198,no,198
754,156,144,no,144
818,506,147,no,147
546,244,242,no,242
388,292,235,no,235
522,434,236,no,236
538,306,248,no,248
716,194,198,no,198
814,132,244,no,244
806,168,167,no,167
552,568,106,no,106
836,522,162,no,162
466,272,198,no,198
432,366,214,no,214
428,284,142,no,142
828,214,200,no,200
778,224,184,no,184
378,328,225,no,225
240,650,193,no,193
406,282,152,no,152
818,244,221,no,221
590,554,94,no,94
826,554,205,no,205
804,262,261,no,261
558,534,83,no,83
302,656,208,no,208
830,172,202,no,202
584,528,93,no,93
730,168,134,no,134
270,622,125,no,125
764,496,121,no,121
702,154,152,no,152
800,494,121,no,121
838,194,192,no,192
576,586,114,no,114
838,500,159,no,159
280,666,160,no,160
820,484,144,no,144
790,540,144,no,144
302,624,124,no,124
814,106,208,no,208
674,136,135,no,135
728,146,120,no,120
746,230,156,no,156
780,482,120,no,120
846,240,231,no,231
598,574,109,no,109
752,134,106,no,106
396,264,108,no,108
748,482,100,no,100
852,536,179,no,179
460,250,117,no,117
838,124,222,no,222
290,608,123,no,123
562,112,80,no,80
480,250,108,no,108
354,318,92,no,92
790,464,100,no,100
560,514,101,no,101
500,256,99,no,99
720,108,85,no,85
768,522,135,no,135
714,132,78,no,78
682,360,62,no,62
406,242,97,no,97
770,126,104,no,104
258,598,98,no,98
428,248,103,no,103
378,272,100,no,100
538,552,58,no,58
216,646,143,no,143
374,244,80,no,80
670,344,75,no,75
742,110,82,no,82
696,204,76,no,76
488,230,87,no,87
716,226,75,no,75
742,504,72,no,72
518,226,66,no,66
706,248,54,no,54
576,280,93,no,93
530,530,65,no,65
692,126,61,no,61
448,232,87,no,87
700,104,57,no,57
716,356,43,no,43
488,24,96,no,96
340,282,72,no,72
354,408,60,no,60
514,24,62,no,62
526,574,56,no,56
360,210,44,no,44
