x,y,r (pixel),is_circle,r (um)
702,382,121,yes,121
474,430,56,yes,56
136,492,92,yes,92
716,366,101,no,101
744,192,75,yes,75
688,366,125,no,125
686,606,83,yes,83
272,144,72,yes,72
320,536,71,no,71
648,154,121,no,121
530,268,66,yes,66
464,534,52,yes,52
508,138,59,yes,59
564,280,121,no,121
660,128,95,no,95
184,362,49,yes,49
718,344,116,no,116
336,550,113,no,113
504,228,112,no,112
250,146,121,no,121
502,254,102,no,102
268,410,52,yes,52
534,128,105,no,105
576,492,70,yes,70
798,542,40,yes,40
394,140,50,yes,50
492,282,105,no,105
752,210,89,no,89
770,50,66,yes,66
626,138,60,yes,60
712,574,118,no,118
302,550,94,no,94
498,422,80,no,80
138,180,49,yes,49
154,88,51,yes,51
144,464,103,no,103
564,260,99,no,99
730,492,41,yes,41
514,158,75,no,75
336,500,121,no,121
338,524,73,no,73
366,526,111,no,111
730,382,111,no,111
114,494,108,no,108
766,186,93,no,93
608,488,76,no,76
372,398,58,yes,58
262,124,81,no,81
158,484,80,no,80
440,412,89,no,89
354,224,46,yes,46
298,164,104,no,104
670,620,104,no,104
394,382,84,no,84
512,282,89,no,89
98,276,72,no,72
302,130,84,no,84
24,370,68,yes,68
188,650,63,yes,63
532,248,84,no,84
618,114,71,no,71
300,312,54,yes,54
448,648,62,yes,62
248,50,31,yes,31
190,472,116,no,116
588,464,79,no,79
544,288,85,no,85
122,280,66,yes,66
168,454,103,no,103
146,292,72,no,72
326,300,89,no,89
710,594,108,no,108
436,664,82,yes,82
170,72,71,no,71
422,130,66,no,66
216,240,56,no,56
516,42,40,yes,40
754,376,89,no,89
550,592,44,yes,44
330,322,69,no,69
204,358,69,no,69
830,286,42,yes,42
448,328,37,yes,37
376,544,98,no,98
408,366,71,no,71
422,36,50,yes,50
54,234,29,yes,29
792,60,74,no,74
184,516,79,no,79
636,242,46,yes,46
358,552,73,no,73
236,244,43,yes,43
450,202,29,yes,29
340,72,26,yes,26
688,76,29,yes,29
574,366,36,yes,36
54,604,44,no,44
198,618,66,no,66
846,620,56,yes,56
656,234,53,no,53
606,146,64,no,64
822,460,55,yes,55
288,404,51,no,51
384,288,33,yes,33
174,94,57,no,57
590,290,17,yes,17
696,426,74,no,74
132,310,61,no,61
192,496,76,no,76
308,668,44,yes,44
710,614,69,no,69
486,522,59,no,59
410,232,68,no,68
158,174,46,no,46
86,50,26,yes,26
508,356,21,yes,21
576,84,21,yes,21
768,160,61,no,61
168,504,59,no,59
494,112,56,no,56
600,72,48,no,48
30,514,29,yes,29
718,112,19,yes,19
340,572,69,no,69
780,204,48,no,48
788,176,46,no,46
588,510,41,no,41
414,152,35,no,35
704,168,37,no,37
220,550,30,yes,30
426,168,29,no,29
24,270,15,yes,15
444,626,58,no,58
650,516,20,yes,20
640,122,40,no,40
800,42,38,no,38
312,334,29,no,29
584,208,18,no,18
398,458,18,yes,18
838,448,60,no,60
446,348,36,no,36
532,148,35,no,35
182,568,20,yes,20
68,588,34,no,34
640,222,26,no,26
572,44,23,yes,23
576,600,44,no,44
314,14,38,yes,38
240,590,17,yes,17
468,634,38,no,38
152,198,29,no,29
394,162,24,no,24
566,578,23,no,23
780,400,17,yes,17
192,198,24,no,24
484,448,34,no,34
150,270,32,no,32
120,168,28,no,28
706,446,10,yes,10
370,598,10,yes,10
396,36,42,no,42
576,184,12,yes,12
374,214,24,no,24
826,340,16,yes,16
122,28,13,yes,13
