x,y,r (pixel),is_circle,r (um)
520,208,124,yes,187.24
384,478,94,yes,141.94
240,116,79,yes,119.29
566,544,76,yes,114.76
186,508,81,yes,122.31
686,336,73,yes,110.23
308,286,80,yes,120.8
522,228,145,no,218.95
68,200,94,yes,141.94
728,610,75,yes,113.25
54,368,80,yes,120.8
384,498,116,no,175.16
794,454,72,yes,108.72
446,628,53,yes,80.03
536,194,145,no,218.95
736,182,73,yes,110.23
336,468,218,no,329.18
554,390,78,no,117.78
670,456,43,yes,64.93
288,670,92,yes,138.92
404,502,125,no,188.75
270,282,143,no,215.93
194,374,53,yes,80.03
30,616,84,yes,126.84
500,204,139,no,209.89000000000001
544,230,155,no,234.05
260,136,106,no,160.06
566,564,96,no,144.96
588,250,197,no,297.47
524,178,139,no,209.89000000000001
390,40,88,yes,132.88
98,10,77,yes,116.27
52,392,102,no,154.02
76,182,73,no,110.23
320,304,104,no,157.04
584,574,110,no,166.1
534,254,172,no,259.72
566,236,170,no,256.7
300,322,121,no,182.71
852,78,65,yes,98.15
192,480,136,no,205.36
708,590,96,no,144.96
810,470,92,no,138.92
404,466,115,no,173.65
166,504,97,no,146.47
312,264,140,no,211.4
362,476,112,no,169.12
206,524,107,no,161.57
218,116,97,no,146.47
676,14,125,yes,188.75
288,292,102,no,154.02
184,530,106,no,160.06
706,360,103,no,155.53
254,102,100,no,151.0
750,198,94,no,141.94
556,412,79,no,119.29
676,354,99,no,149.49
386,454,113,no,170.63
498,228,155,no,234.05
540,560,118,no,178.18
192,226,38,yes,57.38
530,398,52,no,78.52
226,146,111,no,167.61
584,554,90,no,135.9
550,530,89,no,134.39000000000001
578,380,78,no,117.78
578,524,98,no,147.98
802,434,87,no,131.37
88,164,109,no,164.59
52,186,95,no,143.45
478,252,116,no,175.16
682,316,82,no,123.82000000000001
682,472,63,no,95.13
414,446,106,no,160.06
738,584,98,no,147.98
658,440,62,no,93.62
64,346,94,no,141.94
554,176,78,no,117.78
474,330,38,yes,57.38
306,656,69,no,104.19
538,378,67,no,101.17
476,218,78,no,117.78
682,438,46,no,69.46
666,334,54,no,81.54
462,646,76,no,114.76
578,406,62,no,93.62
206,296,28,yes,42.28
474,198,78,no,117.78
706,326,58,no,87.58
748,166,52,no,78.52
74,364,69,no,104.19
564,364,56,no,84.56
194,252,44,no,66.44
460,600,62,no,93.62
290,272,60,no,90.6
248,428,38,no,57.38
370,38,54,no,81.54
