x,y,r (pixel),is_circle,r (um)
604,386,180,yes,180
280,522,140,yes,140
120,334,96,yes,96
336,254,139,yes,139
618,402,188,no,188
506,170,62,yes,62
584,394,201,no,201
502,668,128,yes,128
738,606,99,yes,99
596,324,230,no,230
660,88,129,yes,129
598,420,200,no,200
258,522,161,no,161
638,386,214,no,214
296,536,160,no,160
146,336,120,no,120
560,402,225,no,225
636,412,201,no,201
308,518,167,no,167
624,356,221,no,221
318,228,158,no,158
566,334,237,no,237
572,374,202,no,202
594,354,208,no,208
378,204,204,no,204
300,244,156,no,156
308,274,154,no,154
298,202,190,no,190
618,430,213,no,213
354,266,135,no,135
154,174,60,yes,60
648,368,212,no,212
570,426,215,no,215
300,496,162,no,162
318,538,146,no,146
276,500,135,no,135
648,434,231,no,231
356,220,159,no,159
120,354,113,no,113
332,278,152,no,152
294,224,188,no,188
548,418,235,no,235
276,546,157,no,157
328,488,184,no,184
140,672,85,yes,85
340,232,116,no,116
100,322,116,no,116
668,404,235,no,235
340,208,182,no,182
280,478,156,no,156
358,244,121,no,121
362,288,174,no,174
640,60,161,no,161
306,554,157,no,157
684,82,152,no,152
258,556,180,no,180
156,318,121,no,121
248,488,184,no,184
636,332,196,no,196
718,606,84,no,84
134,314,116,no,116
212,132,127,no,127
328,558,140,no,140
672,60,138,no,138
172,164,74,no,74
238,514,100,no,100
552,380,166,no,166
620,92,90,no,90
288,562,105,no,105
376,262,109,no,109
640,80,104,no,104
256,470,99,no,99
400,240,93,no,93
320,200,84,no,84
312,470,79,no,79
118,302,67,no,67
284,582,94,no,94
354,554,82,no,82
