x,y,r (pixel),is_circle,r (um)
788,214,80,yes,80
514,108,80,yes,80
278,354,58,yes,58
648,188,50,yes,50
782,380,82,yes,82
676,62,91,yes,91
260,224,77,yes,77
544,268,82,yes,82
844,534,85,yes,85
396,290,68,yes,68
620,392,63,yes,63
112,622,76,yes,76
450,592,64,yes,64
438,460,63,yes,63
148,332,64,yes,64
64,268,43,yes,43
694,488,61,yes,61
152,86,39,yes,39
582,516,90,no,90
560,520,75,yes,75
418,300,91,no,91
536,112,93,no,93
180,338,98,no,98
384,90,39,yes,39
168,146,27,yes,27
286,222,101,no,101
276,48,87,yes,87
270,204,72,yes,72
684,282,52,yes,52
138,212,52,yes,52
450,200,40,yes,40
516,88,90,no,90
252,366,85,no,85
68,148,44,yes,44
352,532,48,yes,48
386,386,35,yes,35
312,622,46,yes,46
564,628,39,yes,39
136,426,48,yes,48
152,312,61,no,61
536,414,45,no,45
106,128,32,no,32
336,436,36,yes,36
480,356,38,yes,38
122,504,30,yes,30
224,608,35,yes,35
768,364,58,no,58
692,600,76,no,76
120,114,32,no,32
388,154,44,no,44
72,198,16,yes,16
676,242,36,no,36
