x,y,r (pixel),is_circle,r (um)
792,266,142,yes,142
490,336,130,yes,130
584,90,136,yes,136
234,446,152,yes,152
622,522,100,yes,100
424,606,116,yes,116
256,416,113,no,113
268,122,182,yes,182
500,316,107,no,107
454,342,159,no,159
312,126,139,no,139
818,500,108,yes,108
204,450,176,no,176
512,344,102,no,102
288,116,203,no,203
602,520,109,no,109
440,592,94,no,94
626,498,76,no,76
486,358,115,no,115
254,436,132,no,132
314,486,198,no,198
248,118,200,no,200
646,510,96,no,96
520,318,168,no,168
812,248,167,no,167
252,456,152,no,152
608,74,164,no,164
580,526,131,no,131
272,394,170,no,170
660,486,116,no,116
224,466,150,no,150
796,286,166,no,166
396,618,144,no,144
452,608,142,no,142
270,100,173,no,173
234,424,140,no,140
60,492,66,yes,66
472,600,163,no,163
472,308,129,no,129
658,542,103,no,103
516,298,181,no,181
798,228,103,no,103
280,458,95,no,95
440,560,122,no,122
632,544,84,no,84
662,522,86,no,86
608,102,163,no,163
834,488,96,no,96
504,372,135,no,135
802,482,69,no,69
602,546,99,no,99
270,476,160,no,160
186,426,136,no,136
306,104,159,no,159
640,478,104,no,104
420,582,102,no,102
192,402,105,no,105
168,288,56,yes,56
82,500,55,no,55
606,492,102,no,102
300,462,80,no,80
496,292,83,no,83
582,64,139,no,139
306,578,42,yes,42
212,408,121,no,121
74,476,45,no,45
534,350,80,no,80
814,268,110,no,110
496,630,54,no,54
616,474,67,no,67
814,466,66,no,66
558,352,60,no,60
458,570,66,no,66
524,386,59,no,59
328,468,55,no,55
642,566,60,no,60
78,522,32,no,32
430,316,87,no,87
