x,y,r (pixel),is_circle,r (um)
506,304,22,yes,22
296,586,22,yes,22
656,50,40,no,40
312,196,42,no,42
806,320,27,yes,27
676,332,34,no,34
542,260,37,no,37
640,372,24,yes,24
364,304,20,yes,20
78,516,32,no,32
758,104,27,no,27
256,400,21,yes,21
474,288,15,yes,15
144,530,19,yes,19
66,584,19,yes,19
736,314,22,no,22
26,576,19,yes,19
756,392,22,yes,22
572,116,19,yes,19
434,266,16,yes,16
200,436,14,yes,14
224,308,18,yes,18
708,394,18,yes,18
418,212,14,yes,14
370,148,19,yes,19
580,306,22,yes,22
538,56,19,no,19
