x,y,r (pixel),is_circle,r (um)
460,584,80,no,80
418,240,42,yes,42
582,268,34,yes,34
792,144,42,yes,42
486,124,38,yes,38
606,430,33,yes,33
728,330,59,yes,59
504,210,38,yes,38
742,428,48,yes,48
664,262,41,yes,41
130,40,37,yes,37
316,256,44,yes,44
620,582,40,yes,40
680,540,99,no,99
676,92,38,yes,38
312,348,34,yes,34
476,372,47,yes,47
308,114,34,yes,34
702,526,49,yes,49
750,642,40,yes,40
502,290,36,yes,36
784,240,52,yes,52
50,38,34,yes,34
218,448,72,no,72
500,390,77,no,77
280,450,68,no,68
712,174,43,yes,43
228,106,34,yes,34
366,174,42,yes,42
626,330,34,yes,34
784,518,30,yes,30
582,36,46,yes,46
336,534,54,no,54
86,220,42,yes,42
306,434,41,yes,41
332,418,70,no,70
102,314,62,no,62
388,378,38,yes,38
798,44,41,yes,41
558,370,35,yes,35
182,172,32,yes,32
238,462,58,no,58
368,68,43,yes,43
630,156,33,yes,33
110,332,52,no,52
196,46,31,yes,31
110,406,56,no,56
556,546,24,yes,24
412,494,54,no,54
500,546,29,yes,29
316,230,79,no,79
490,192,64,no,64
86,352,56,no,56
210,480,49,no,49
80,102,47,no,47
258,184,44,yes,44
394,564,41,no,41
568,172,30,yes,30
588,502,31,yes,31
446,52,36,yes,36
800,378,30,yes,30
380,302,30,yes,30
248,202,60,no,60
226,306,46,no,46
106,386,44,no,44
152,112,37,yes,37
528,434,32,yes,32
414,124,25,yes,25
670,388,33,yes,33
418,466,54,no,54
144,306,53,no,53
502,620,40,no,40
476,494,24,yes,24
798,580,19,yes,19
210,230,27,yes,27
120,156,22,yes,22
440,244,55,no,55
88,414,42,no,42
412,576,41,no,41
518,58,26,yes,26
440,538,23,yes,23
754,576,29,no,29
748,90,24,yes,24
644,476,22,yes,22
272,34,53,yes,53
558,100,42,no,42
658,630,19,yes,19
338,558,37,no,37
44,318,49,no,49
526,496,31,yes,31
344,498,27,no,27
320,550,36,no,36
258,370,49,no,49
296,500,21,yes,21
618,414,45,no,45
700,602,22,yes,22
562,620,21,yes,21
728,32,28,yes,28
378,530,21,yes,21
164,260,17,yes,17
186,356,23,yes,23
48,168,23,yes,23
248,510,16,yes,16
820,460,33,yes,33
694,662,22,yes,22
614,208,22,yes,22
188,416,36,no,36
612,104,28,yes,28
444,304,27,yes,27
544,114,37,no,37
472,640,25,yes,25
830,314,40,yes,40
22,252,33,yes,33
92,270,36,no,36
354,458,32,no,32
166,308,27,no,27
448,174,21,yes,21
160,424,37,no,37
376,480,30,no,30
438,422,27,no,27
142,392,24,no,24
276,538,17,yes,17
204,402,30,no,30
542,668,23,yes,23
434,490,39,no,39
390,444,29,no,29
178,470,25,no,25
152,216,22,yes,22
834,638,38,yes,38
676,438,22,yes,22
522,156,17,yes,17
150,342,12,yes,12
44,424,20,yes,20
658,200,17,yes,17
438,468,30,no,30
834,548,23,yes,23
480,430,18,yes,18
522,334,17,yes,17
128,278,16,yes,16
606,660,30,no,30
634,518,19,yes,19
456,456,16,yes,16
312,194,15,yes,15
558,212,13,yes,13
664,18,24,yes,24
62,358,22,no,22
302,570,19,yes,19
436,630,17,yes,17
246,414,19,yes,19
544,482,25,no,25
514,602,23,no,23
388,584,24,no,24
204,500,19,no,19
280,302,14,yes,14
180,116,34,no,34
544,418,31,no,31
414,160,20,no,20
352,412,15,yes,15
338,386,14,yes,14
28,378,14,yes,14
56,388,10,yes,10
