x,y,r (pixel),is_circle,r (um)
4,14,226,yes,341.26
806,286,91,yes,137.41
432,604,66,yes,99.66
632,110,77,yes,116.27
356,304,53,yes,80.03
712,680,97,yes,146.47
682,498,70,yes,105.7
72,580,68,yes,102.68
572,584,72,yes,108.72
154,478,63,yes,95.13
128,324,54,yes,81.54
222,254,62,yes,93.62
514,432,45,yes,67.95
360,506,42,yes,63.42
318,592,41,yes,61.910000000000004
318,146,36,yes,54.36
594,226,40,yes,60.4
234,152,43,yes,64.93
768,154,50,yes,75.5
64,410,44,yes,66.44
272,374,43,yes,64.93
26,22,194,no,292.94
816,546,72,yes,108.72
746,42,51,yes,77.01
812,80,28,yes,42.28
566,560,80,no,120.8
228,524,147,no,221.97
412,554,110,no,166.1
690,216,34,yes,51.34
552,60,26,yes,39.26
288,88,31,yes,46.81
580,476,27,yes,40.77
208,240,82,no,123.82000000000001
286,526,32,yes,48.32
648,94,97,no,146.47
634,130,94,no,141.94
242,260,76,no,114.76
532,578,112,no,169.12
148,338,78,no,117.78
182,472,92,no,138.92
130,470,78,no,117.78
420,574,97,no,146.47
594,592,92,no,138.92
470,516,31,yes,46.81
236,228,90,no,135.9
666,510,86,no,129.86
416,358,133,no,200.83
662,112,103,no,155.53
582,546,90,no,135.9
800,266,69,no,104.19
312,440,30,yes,45.3
336,216,27,yes,40.77
246,370,76,no,114.76
288,394,70,no,105.7
698,274,23,yes,34.73
176,490,87,no,131.37
176,450,83,no,125.33
122,346,76,no,114.76
610,112,97,no,146.47
454,624,95,no,143.45
94,590,89,no,134.39000000000001
692,480,77,no,116.27
380,522,68,no,102.68
446,586,103,no,155.53
70,556,75,no,113.25
410,604,86,no,129.86
642,418,24,yes,36.24
346,94,18,yes,27.18
236,208,95,no,143.45
216,222,82,no,123.82000000000001
372,490,63,no,95.13
214,274,80,no,120.8
258,344,76,no,114.76
228,428,23,yes,34.73
558,600,91,no,137.41
266,398,67,no,101.17
644,256,22,yes,33.22
552,576,83,no,125.33
540,444,77,no,116.27
150,456,69,no,104.19
192,390,33,yes,49.83
332,300,75,no,113.25
452,468,25,yes,37.75
776,130,62,no,93.62
244,134,52,no,78.52
300,252,24,yes,36.24
338,330,86,no,129.86
518,456,69,no,104.19
370,176,20,yes,30.2
406,458,25,yes,37.75
160,320,93,no,140.43
496,448,74,no,111.74
420,624,88,no,132.88
684,460,82,no,123.82000000000001
848,166,33,yes,49.83
288,440,56,no,84.56
670,216,52,no,78.52
452,506,47,no,70.97
78,534,78,no,117.78
342,580,58,no,87.58
266,460,58,no,87.58
352,420,49,no,73.99
292,370,65,no,98.15
818,526,77,no,116.27
660,480,42,no,63.42
358,528,47,no,70.97
256,488,58,no,87.58
206,326,37,no,55.87
796,308,55,no,83.05
600,446,33,no,49.83
526,494,31,no,46.81
