x,y,r (pixel),is_circle,r (um)
210,358,99,no,149.49
338,486,99,no,149.49
228,130,99,no,149.49
236,358,99,no,149.49
416,382,97,no,146.47
438,260,92,no,138.92
442,378,90,no,135.9
404,274,92,no,138.92
114,318,83,no,125.33
450,606,78,no,117.78
768,238,69,no,104.19
370,406,88,no,132.88
218,380,96,no,144.96
780,130,52,yes,78.52
520,458,80,no,120.8
256,556,70,no,105.7
102,276,68,no,102.68
176,152,92,no,138.92
526,480,87,no,131.37
184,606,78,no,117.78
344,616,69,no,104.19
552,588,81,no,122.31
294,584,78,no,117.78
330,510,67,no,101.17
360,526,74,no,111.74
196,140,65,no,98.15
68,192,84,no,126.84
590,136,84,no,126.84
96,524,65,no,98.15
116,290,76,no,114.76
308,154,72,no,108.72
214,436,70,no,105.7
226,334,66,no,99.66
198,334,74,no,111.74
106,398,65,no,98.15
556,264,73,no,110.23
784,644,56,yes,84.56
190,430,70,no,105.7
370,266,65,no,98.15
558,480,70,no,105.7
748,396,38,yes,57.38
366,428,37,yes,55.87
554,622,62,no,93.62
218,250,44,yes,66.44
614,374,70,no,105.7
88,410,59,no,89.09
396,138,72,no,108.72
228,230,68,no,102.68
282,128,65,no,98.15
68,536,59,no,89.09
304,628,58,no,87.58
270,512,56,no,84.56
122,264,40,yes,60.4
498,160,62,no,93.62
566,606,61,no,92.11
680,472,54,no,81.54
198,232,50,no,75.5
296,300,52,no,78.52
710,332,42,no,63.42
578,264,50,yes,75.5
622,394,62,no,93.62
334,418,58,no,87.58
234,446,59,no,89.09
616,160,64,no,96.64
174,132,59,no,89.09
106,126,50,no,75.5
388,546,50,no,75.5
796,232,68,no,102.68
688,134,38,yes,57.38
544,494,59,yes,89.09
320,614,47,no,70.97
496,188,60,no,90.6
492,554,47,no,70.97
564,338,54,no,81.54
660,482,52,no,78.52
236,550,50,no,75.5
322,22,46,yes,69.46
780,324,44,yes,66.44
418,470,54,no,81.54
378,352,50,no,75.5
44,200,49,yes,73.99
420,500,43,no,64.93
184,506,44,no,66.44
544,84,38,yes,57.38
552,62,60,no,90.6
