x,y,r (pixel),is_circle,r (um)
178,52,42,yes,123.9
586,110,60,yes,177.0
810,54,43,yes,126.85000000000001
670,56,43,yes,126.85000000000001
304,396,99,no,292.05
604,438,54,yes,159.3
168,194,52,yes,153.4
692,382,50,yes,147.5
100,76,74,no,218.3
546,580,53,yes,156.35000000000002
144,538,53,yes,156.35000000000002
766,498,50,yes,147.5
758,122,42,yes,123.9
792,420,38,yes,112.10000000000001
498,436,50,yes,147.5
388,186,53,yes,156.35000000000002
568,266,50,yes,147.5
480,106,44,yes,129.8
524,186,43,yes,126.85000000000001
72,68,55,no,162.25
274,182,54,yes,159.3
84,94,84,no,247.8
296,370,48,yes,141.60000000000002
258,586,46,yes,135.70000000000002
444,120,91,no,268.45
634,528,43,yes,126.85000000000001
514,584,82,no,241.9
264,356,77,no,227.15
418,490,43,yes,126.85000000000001
614,344,42,yes,123.9
578,600,90,no,265.5
290,200,75,no,221.25
76,460,52,no,153.4
676,138,42,yes,123.9
446,96,83,no,244.85000000000002
466,256,51,yes,150.45000000000002
656,278,44,yes,129.8
380,338,60,no,177.0
392,636,38,yes,112.10000000000001
566,116,74,no,218.3
190,180,70,no,206.5
94,172,60,no,177.0
238,100,76,no,224.20000000000002
72,166,50,no,147.5
34,296,48,yes,141.60000000000002
168,444,43,yes,126.85000000000001
396,98,38,yes,112.10000000000001
442,266,76,no,224.20000000000002
574,94,64,no,188.8
716,210,55,no,162.25
116,324,36,yes,106.2
598,94,92,no,271.40000000000003
192,100,70,no,206.5
280,96,70,no,206.5
66,438,58,no,171.10000000000002
268,80,46,yes,135.70000000000002
108,248,40,yes,118.0
360,428,40,yes,118.0
396,156,80,no,236.0
736,610,58,no,171.10000000000002
734,474,84,no,247.8
624,198,39,yes,115.05000000000001
368,356,85,no,250.75000000000003
282,572,77,no,227.15
298,170,70,no,206.5
92,448,69,no,203.55
402,344,72,no,212.4
158,556,68,no,200.60000000000002
742,502,68,no,200.60000000000002
246,184,74,no,218.3
448,578,38,yes,112.10000000000001
228,508,31,yes,91.45
280,406,72,no,212.4
188,282,48,no,141.60000000000002
688,466,36,yes,106.2
528,568,74,no,218.3
320,250,50,no,147.5
346,496,30,yes,88.5
184,418,76,no,224.20000000000002
470,356,35,yes,103.25
424,402,32,yes,94.4
456,286,77,no,227.15
534,598,66,no,194.70000000000002
178,626,46,no,135.70000000000002
528,28,40,yes,118.0
258,560,69,no,203.55
108,616,34,yes,100.30000000000001
464,122,49,no,144.55
292,498,46,no,135.70000000000002
776,348,40,yes,118.0
340,38,39,yes,115.05000000000001
376,550,38,yes,112.10000000000001
222,332,32,yes,94.4
404,324,70,no,206.5
148,432,67,no,197.65
34,600,32,yes,94.4
94,194,70,no,206.5
246,78,56,no,165.20000000000002
62,372,34,yes,100.30000000000001
638,606,33,yes,97.35000000000001
172,364,32,yes,94.4
666,358,54,no,159.3
298,458,29,yes,85.55000000000001
490,616,27,yes,79.65
550,92,62,no,182.9
340,258,51,no,150.45000000000002
138,122,25,yes,73.75
554,558,60,no,177.0
166,276,56,no,165.20000000000002
168,172,52,no,153.4
542,362,34,yes,100.30000000000001
120,394,29,yes,85.55000000000001
242,246,29,yes,85.55000000000001
738,58,25,yes,73.75
162,522,70,no,206.5
566,584,70,no,206.5
242,604,60,no,177.0
438,22,47,yes,138.65
178,214,56,no,165.20000000000002
704,190,62,no,182.9
430,588,56,no,165.20000000000002
608,184,46,no,135.70000000000002
280,296,36,no,106.2
226,394,30,yes,88.5
822,246,50,yes,147.5
754,594,56,no,165.20000000000002
726,306,31,yes,91.45
734,432,25,yes,73.75
240,448,31,yes,91.45
406,174,52,no,153.4
102,56,51,no,150.45000000000002
698,548,40,no,118.0
734,222,52,no,153.4
74,186,44,no,129.8
330,592,40,no,118.0
198,120,31,yes,91.45
182,346,42,no,123.9
544,658,33,yes,97.35000000000001
484,512,29,yes,85.55000000000001
594,22,30,yes,88.5
548,262,50,no,147.5
832,572,47,yes,138.65
770,416,46,no,135.70000000000002
754,620,38,no,112.10000000000001
24,518,32,no,94.4
462,174,24,yes,70.80000000000001
176,32,30,no,88.5
788,182,23,yes,67.85000000000001
314,544,32,no,94.4
574,418,50,no,147.5
288,344,43,no,126.85000000000001
440,558,40,no,118.0
60,84,36,no,106.2
300,624,29,no,85.55000000000001
2,48,39,yes,115.05000000000001
332,194,21,yes,61.95
662,450,43,no,126.85000000000001
594,336,37,no,109.15
660,126,38,no,112.10000000000001
548,490,24,yes,70.80000000000001
666,378,40,no,118.0
98,140,38,no,112.10000000000001
386,612,34,no,100.30000000000001
56,456,38,no,112.10000000000001
78,346,35,no,103.25
676,666,45,yes,132.75
126,228,34,no,100.30000000000001
578,134,37,no,109.15
410,466,42,no,123.9
498,176,30,no,88.5
772,286,23,yes,67.85000000000001
688,590,20,yes,59.0
676,184,19,yes,56.050000000000004
324,310,22,yes,64.9
376,88,23,no,67.85000000000001
614,132,19,no,56.050000000000004
320,564,27,no,79.65
304,120,17,yes,50.150000000000006
194,436,30,no,88.5
346,138,24,no,70.80000000000001
332,102,20,no,59.0
