index,x,y,r (pixel),is_circle,r (um),probability
56,804,504,31,yes,31,0.6686046511627907
49,740,8,28,yes,28,0.5578947368421052
23,652,214,19,yes,19,0.5384615384615384
1,122,498,13,yes,13,0.5277777777777778
2,688,176,13,yes,13,0.5277777777777778
17,654,560,18,yes,18,0.52
38,780,554,23,yes,23,0.515625
42,784,138,27,yes,27,0.506578947368421
5,368,222,14,yes,14,0.5
50,302,42,29,yes,29,0.4878048780487805
6,596,366,14,yes,14,0.4868421052631579
30,614,458,22,yes,22,0.46774193548387094
10,448,352,15,yes,15,0.44047619047619047
52,706,550,29,yes,29,0.43902439024390244
89,408,48,67,yes,67,0.43508771929824563
3,806,102,14,yes,14,0.4342105263157895
39,736,66,24,yes,24,0.4318181818181818
28,22,682,21,yes,21,0.4307692307692308
24,738,584,20,yes,20,0.42857142857142855
51,652,48,29,yes,29,0.4268292682926829
79,528,260,49,yes,49,0.42391304347826086
20,820,280,18,yes,18,0.42
45,640,638,27,yes,27,0.4144736842105263
37,678,146,23,yes,23,0.4140625
31,246,84,22,yes,22,0.4112903225806452
7,588,636,14,yes,14,0.39473684210526316
22,608,36,19,yes,19,0.3942307692307692
94,216,438,75,yes,75,0.3915094339622642
47,436,460,28,yes,28,0.38461538461538464
54,32,590,29,yes,29,0.3719512195121951
8,28,480,15,yes,15,0.36904761904761907
43,532,462,27,yes,27,0.3618421052631579
74,58,158,46,yes,46,0.36153846153846153
0,746,210,12,yes,12,0.359375
60,582,504,33,yes,33,0.358695652173913
40,564,40,25,yes,25,0.35714285714285715
12,562,116,16,yes,16,0.3522727272727273
65,174,636,35,yes,35,0.3520408163265306
58,618,272,32,yes,32,0.35
86,160,298,61,yes,61,0.34593023255813954
4,72,266,14,yes,14,0.34210526315789475
59,788,328,32,yes,32,0.3388888888888889
63,598,566,34,yes,34,0.3333333333333333
29,824,360,22,yes,22,0.33064516129032256
88,170,146,67,yes,67,0.3271276595744681
72,366,172,43,yes,43,0.32083333333333336
67,300,656,35,yes,35,0.32075471698113206
46,810,52,28,yes,28,0.32051282051282054
36,562,410,23,yes,23,0.3203125
44,556,364,27,yes,27,0.3157894736842105
62,508,58,34,yes,34,0.3125
21,396,234,18,yes,18,0.31
90,498,614,71,no,71,0.3075
69,446,304,41,yes,41,0.30701754385964913
13,540,310,16,yes,16,0.3068181818181818
53,458,404,29,yes,29,0.3048780487804878
25,44,636,21,yes,21,0.3017241379310345
9,262,152,15,yes,15,0.2976190476190476
84,510,144,56,yes,56,0.29430379746835444
75,600,200,46,yes,46,0.28846153846153844
26,506,408,21,yes,21,0.28448275862068967
33,338,482,22,yes,22,0.27419354838709675
80,410,496,50,no,50,0.2714285714285714
32,82,590,22,yes,22,0.2661290322580645
57,210,60,31,no,31,0.2616279069767442
55,502,350,31,yes,31,0.2558139534883721
27,574,298,21,yes,21,0.25
81,482,356,50,no,50,0.24285714285714285
19,114,620,18,yes,18,0.24
77,28,56,48,no,48,0.2356020942408377
11,78,536,16,yes,16,0.22727272727272727
35,398,448,22,no,22,0.22580645161290322
66,796,622,35,yes,35,0.22448979591836735
41,600,332,25,yes,25,0.22142857142857142
107,364,366,95,no,95,0.208955223880597
106,184,128,91,no,91,0.205078125
14,102,412,16,yes,16,0.20454545454545456
71,492,498,42,no,42,0.2033898305084746
73,512,510,43,no,43,0.2
64,532,150,34,no,34,0.19791666666666666
93,230,420,74,no,74,0.18990384615384615
103,350,386,83,no,83,0.18803418803418803
99,322,552,82,no,82,0.18478260869565216
96,514,594,76,no,76,0.17990654205607476
78,382,378,48,no,48,0.1791044776119403
85,526,128,56,no,56,0.17721518987341772
48,454,534,28,yes,28,0.16025641025641027
109,304,254,95,no,95,0.15485074626865672
83,622,92,55,no,55,0.1525974025974026
108,296,236,95,no,95,0.15111940298507462
16,610,608,17,yes,17,0.14583333333333334
101,268,238,82,no,82,0.14565217391304347
34,534,540,22,yes,22,0.14516129032258066
97,156,126,77,no,77,0.14351851851851852
102,340,368,82,no,82,0.14130434782608695
100,238,444,82,no,82,0.14130434782608695
104,200,420,86,no,86,0.1384297520661157
76,550,254,46,no,46,0.13076923076923078
61,200,146,33,no,33,0.13043478260869565
68,720,318,38,yes,38,0.12264150943396226
105,346,588,86,no,86,0.12190082644628099
91,174,316,72,no,72,0.1188118811881188
92,284,252,74,yes,74,0.11778846153846154
98,154,172,78,no,78,0.1159090909090909
95,142,310,75,no,75,0.11556603773584906
82,494,124,54,no,54,0.11513157894736842
87,334,568,66,yes,66,0.11290322580645161
70,428,54,41,no,41,0.09649122807017543
18,430,234,18,yes,18,0.08
15,492,448,17,yes,17,0.0625
