index,x,y,r (pixel),is_circle,r (um),probability
11,630,386,85,yes,85,0.31666666666666665
38,492,580,136,yes,136,0.304857621440536
40,274,162,145,yes,145,0.30365853658536585
19,468,310,99,yes,99,0.2982142857142857
7,622,228,75,yes,75,0.28537735849056606
16,772,114,97,yes,97,0.2733485193621868
34,548,38,125,yes,125,0.2331002331002331
35,164,452,131,yes,131,0.22567567567567567
28,174,434,111,no,111,0.21794871794871795
45,256,172,164,no,164,0.19805194805194806
52,248,144,193,no,193,0.1716686674669868
5,360,426,69,yes,69,0.17010309278350516
36,840,346,132,yes,132,0.1670886075949367
2,62,96,60,yes,60,0.16071428571428573
12,642,370,85,no,85,0.15
55,234,130,212,no,212,0.1408614668218859
48,238,164,180,no,180,0.13860252004581902
47,272,184,171,no,171,0.13692946058091288
4,698,530,68,no,68,0.13541666666666666
21,524,42,102,no,102,0.13404825737265416
9,638,210,81,no,81,0.125
1,428,320,58,no,58,0.125
0,144,270,48,yes,48,0.11567164179104478
56,234,110,229,no,229,0.11534025374855825
8,470,290,80,no,80,0.11504424778761062
51,240,194,192,no,192,0.11162361623616236
22,194,434,102,no,102,0.109375
24,740,550,105,yes,105,0.10641891891891891
44,280,140,161,no,161,0.1049136786188579
10,724,534,82,no,82,0.10434782608695652
26,782,94,108,no,108,0.10294117647058823
30,262,124,115,no,115,0.10185185185185185
42,148,474,158,no,158,0.10038119440914867
14,602,234,94,no,94,0.09659090909090909
3,746,88,63,no,63,0.09550561797752809
13,650,390,93,no,93,0.09351145038167939
41,472,590,156,no,156,0.09350237717908082
25,492,310,108,no,108,0.09210526315789473
29,300,134,113,no,113,0.09119496855345911
6,298,608,69,yes,69,0.09020618556701031
20,656,232,100,no,100,0.08865248226950355
31,446,310,116,no,116,0.08841463414634146
18,490,286,98,no,98,0.08695652173913043
46,296,168,166,no,166,0.08653846153846154
39,512,582,141,no,141,0.08264462809917356
49,304,186,182,no,182,0.08171206225680934
54,222,176,198,no,198,0.07953340402969247
27,548,58,109,no,109,0.07529411764705882
15,472,568,95,no,95,0.06343283582089553
23,834,326,104,no,104,0.060790273556231005
33,616,356,120,no,120,0.060650887573964495
50,324,174,189,no,189,0.06054054054054054
17,378,404,98,no,98,0.059782608695652176
32,502,562,118,no,118,0.05120481927710843
37,484,548,135,no,135,0.05
43,196,460,159,no,159,0.044642857142857144
53,234,462,196,no,196,0.0388086642599278
