x,y,r (pixel),is_circle,r (um)
346,420,124,yes,124
592,344,99,yes,99
262,156,113,yes,113
372,398,154,no,154
424,454,228,no,228
330,394,179,no,179
542,544,80,yes,80
452,206,75,yes,75
656,326,162,no,162
42,222,109,yes,109
290,440,243,no,243
690,488,60,yes,60
156,556,94,yes,94
308,366,212,no,212
358,438,175,no,175
732,250,50,yes,50
276,456,227,no,227
544,350,247,no,247
282,140,137,no,137
616,358,126,no,126
326,414,145,no,145
294,466,225,no,225
254,462,222,no,222
372,480,220,no,220
312,134,133,no,133
558,394,231,no,231
300,172,171,no,171
480,40,84,yes,84
754,374,53,yes,53
308,426,188,no,188
288,406,183,no,183
350,390,177,no,177
388,460,190,no,190
626,324,178,no,178
272,478,206,no,206
330,442,160,no,160
244,168,138,no,138
656,356,188,no,188
380,428,181,no,181
334,360,182,no,182
468,224,113,no,113
588,130,60,yes,60
350,456,190,no,190
618,304,166,no,166
404,650,71,yes,71
326,178,160,no,160
332,144,142,no,142
438,424,232,no,232
676,314,164,no,164
574,352,118,no,118
166,354,70,yes,70
674,336,158,no,158
264,182,131,no,131
28,424,78,yes,78
652,304,148,no,148
424,192,106,no,106
716,138,51,yes,51
314,312,202,no,202
414,436,192,no,192
844,80,78,yes,78
296,344,176,no,176
360,372,159,no,159
250,128,121,no,121
308,404,165,no,165
610,536,148,no,148
228,156,146,no,146
436,224,99,no,99
812,474,46,yes,46
298,114,137,no,137
478,196,92,no,92
638,366,148,no,148
228,190,138,no,138
270,112,156,no,156
426,394,204,no,204
600,374,148,no,148
392,408,146,no,146
262,682,54,yes,54
674,614,51,yes,51
322,464,172,no,172
286,192,161,no,161
388,370,149,no,149
568,324,146,no,146
286,378,143,no,143
606,322,123,no,123
116,6,102,yes,102
588,540,144,no,144
130,548,135,no,135
608,286,158,no,158
178,550,94,no,94
762,394,82,no,82
576,376,153,no,153
312,154,136,no,136
558,514,134,no,134
172,530,137,no,137
582,560,123,no,123
704,470,79,no,79
262,210,127,no,127
462,182,102,no,102
520,538,102,no,102
184,570,114,no,114
558,568,114,no,114
578,678,46,yes,46
760,568,76,no,76
146,536,117,no,117
194,536,106,no,106
488,222,113,no,113
586,314,73,no,73
190,322,70,no,70
566,546,104,no,104
634,346,138,no,138
524,562,107,no,107
308,568,44,yes,44
22,208,132,no,132
302,92,123,no,123
24,234,124,no,124
498,30,104,no,104
426,172,99,no,99
604,110,74,no,74
386,670,98,no,98
720,492,84,no,84
404,384,118,no,118
710,252,70,no,70
482,174,102,no,102
748,264,78,no,78
736,142,68,no,68
772,362,57,no,57
52,204,106,no,106
668,472,88,no,88
748,226,81,no,81
502,192,105,no,105
282,160,75,no,75
534,522,63,no,63
676,576,107,no,107
556,122,94,no,94
58,416,92,no,92
734,370,74,no,74
672,448,68,no,68
68,184,82,no,82
184,364,78,no,78
782,588,46,no,46
488,58,63,no,63
782,568,53,no,53
358,226,38,yes,38
194,344,69,no,69
734,120,57,no,57
690,598,61,no,61
366,514,21,no,21
356,76,75,no,75
648,602,70,no,70
160,334,63,no,63
696,452,70,no,70
572,140,62,no,62
462,54,63,no,63
664,220,59,no,59
36,180,91,no,91
62,230,88,no,88
442,184,64,no,64
216,252,60,no,60
444,158,81,no,81
326,554,54,no,54
50,450,46,no,46
798,292,29,no,29
358,326,84,no,84
266,436,84,no,84
46,400,75,no,75
132,20,66,no,66
632,208,51,no,51
686,418,49,no,49
354,538,38,no,38
688,390,26,yes,26
224,136,54,no,54
442,48,46,no,46
388,84,49,no,49
610,138,36,no,36
668,594,33,no,33
328,488,54,no,54
742,440,32,no,32
782,542,49,no,49
784,384,46,no,46
302,590,33,no,33
354,346,65,no,65
432,138,59,no,59
588,98,57,no,57
272,662,46,no,46
174,208,45,no,45
512,422,30,no,30
678,278,29,no,29
752,346,46,no,46
754,624,21,yes,21
580,412,60,no,60
200,274,52,no,52
394,480,50,no,50
826,492,25,no,25
628,414,17,yes,17
528,42,70,no,70
390,634,50,no,50
792,464,44,no,44
156,372,34,no,34
296,216,30,no,30
602,450,40,no,40
294,266,33,no,33
746,660,14,no,14
