x,y,r (pixel),is_circle,r (um)
176,352,76,yes,76
530,584,117,yes,117
264,46,65,yes,65
724,572,112,no,112
468,254,85,yes,85
678,442,74,yes,74
336,324,62,yes,62
588,330,63,yes,63
752,582,84,yes,84
560,434,45,yes,45
348,486,88,yes,88
254,506,34,yes,34
102,136,117,no,117
506,588,151,no,151
320,186,87,yes,87
472,384,50,yes,50
332,470,109,no,109
502,554,166,no,166
192,370,101,no,101
270,584,88,no,88
580,350,76,no,76
490,306,140,no,140
344,430,123,no,123
524,562,93,no,93
568,624,168,no,168
728,270,89,yes,89
164,374,99,no,99
350,340,83,no,83
170,394,118,no,118
156,348,93,no,93
256,270,40,yes,40
560,604,149,no,149
366,478,95,no,95
708,256,139,no,139
326,344,83,no,83
86,122,100,no,100
572,318,82,no,82
182,332,81,no,81
564,414,64,no,64
708,288,112,no,112
338,374,86,no,86
352,464,73,no,73
556,572,117,no,117
452,240,67,no,67
384,588,44,yes,44
92,404,32,yes,32
670,462,70,no,70
242,438,34,yes,34
316,166,73,no,73
672,74,44,yes,44
468,410,75,no,75
580,436,60,no,60
606,170,56,no,56
780,586,69,no,69
204,342,49,no,49
238,260,34,no,34
