x,y,r (pixel),is_circle,r (um)
152,546,99,no,149.49
176,324,97,no,146.47
136,476,99,no,149.49
152,502,93,no,140.43
350,566,97,no,146.47
282,538,76,no,114.76
266,516,76,no,114.76
392,436,87,no,131.37
286,236,87,no,131.37
118,174,83,no,125.33
376,552,80,no,120.8
726,440,84,no,126.84
316,246,86,no,129.86
574,574,70,no,105.7
544,472,95,no,143.45
384,594,87,no,131.37
172,490,81,no,122.31
210,314,80,no,120.8
328,380,78,no,117.78
776,460,74,no,111.74
322,204,87,no,131.37
728,474,82,no,123.82000000000001
766,480,66,no,99.66
152,320,78,no,117.78
260,238,71,no,107.21
356,544,78,no,117.78
378,574,71,no,107.21
642,360,68,no,102.68
404,546,76,no,114.76
266,564,62,no,93.62
176,604,53,no,80.03
534,450,82,no,123.82000000000001
216,136,60,no,90.6
88,204,75,no,113.25
780,568,76,no,114.76
486,368,86,no,129.86
126,494,68,no,102.68
250,548,61,no,92.11
822,508,27,no,40.77
588,482,80,no,120.8
238,438,73,no,110.23
458,632,70,no,105.7
192,350,58,no,87.58
602,374,74,no,111.74
222,330,70,no,105.7
754,446,54,no,81.54
810,596,51,yes,77.01
670,462,39,no,58.89
158,568,55,no,83.05
622,386,60,no,90.6
252,588,58,no,87.58
602,570,56,no,84.56
698,590,50,no,75.5
158,476,62,no,93.62
482,496,51,no,77.01
750,466,50,no,75.5
158,288,48,no,72.48
164,228,50,no,75.5
642,230,29,no,43.79
780,362,74,no,111.74
376,494,38,no,57.38
764,164,68,no,102.68
296,368,60,no,90.6
176,250,48,no,72.48
382,80,40,no,60.4
60,306,36,no,54.36
558,492,74,no,111.74
464,510,54,no,81.54
96,174,51,no,77.01
310,128,46,yes,69.46
352,382,48,no,72.48
274,384,60,no,90.6
614,552,58,no,87.58
476,444,50,no,75.5
212,352,49,no,73.99
604,174,40,no,60.4
616,354,55,no,83.05
418,440,44,no,66.44
572,464,44,no,66.44
340,452,42,no,63.42
204,442,59,no,89.09
688,286,54,no,81.54
722,378,46,no,69.46
464,558,38,no,57.38
314,322,52,no,78.52
672,572,44,no,66.44
138,40,38,no,57.38
482,100,71,no,107.21
632,514,47,no,70.97
326,278,46,no,69.46
314,528,44,no,66.44
56,456,33,no,49.83
140,412,52,no,78.52
800,370,52,no,78.52
738,542,38,no,57.38
792,308,25,no,37.75
264,628,58,no,87.58
64,388,48,no,72.48
570,640,39,no,58.89
538,606,38,no,57.38
742,134,69,no,104.19
480,636,49,yes,73.99
682,340,30,yes,45.3
246,642,41,no,61.910000000000004
800,576,40,no,60.4
548,290,39,no,58.89
96,642,38,no,57.38
126,330,41,no,61.910000000000004
478,344,49,no,73.99
582,554,48,no,72.48
174,542,44,no,66.44
178,582,40,no,60.4
210,224,38,no,57.38
542,398,29,no,43.79
478,282,29,no,43.79
272,484,42,no,63.42
130,260,27,no,40.77
670,178,25,no,37.75
732,628,46,no,69.46
648,446,41,no,61.910000000000004
426,382,36,no,54.36
370,398,34,no,51.34
506,164,34,no,51.34
36,514,33,no,49.83
330,346,39,no,58.89
72,240,38,no,57.38
104,342,44,no,66.44
754,30,44,no,66.44
394,336,43,yes,64.93
278,584,38,no,57.38
448,170,28,yes,42.28
108,512,36,no,54.36
66,566,33,no,49.83
772,146,50,no,75.5
378,166,47,no,70.97
162,124,43,no,64.93
202,282,30,no,45.3
84,514,40,no,60.4
148,584,38,no,57.38
314,622,34,no,51.34
752,328,24,yes,36.24
100,446,23,yes,34.73
800,346,46,no,69.46
168,44,42,no,63.42
68,88,38,no,57.38
532,532,38,no,57.38
292,470,36,no,54.36
590,648,39,no,58.89
796,238,32,no,48.32
688,60,30,yes,45.3
630,626,34,no,51.34
166,150,32,no,48.32
204,168,32,no,48.32
420,272,31,no,46.81
422,220,31,yes,46.81
224,206,30,no,45.3
498,432,35,no,52.85
822,450,35,no,52.85
478,540,32,no,48.32
116,574,29,no,43.79
696,222,28,no,42.28
402,454,40,no,60.4
248,146,37,no,55.87
478,424,37,no,55.87
786,662,32,yes,48.32
654,100,24,yes,36.24
44,390,41,no,61.910000000000004
684,532,32,no,48.32
616,276,31,no,46.81
704,414,25,no,37.75
732,294,36,no,54.36
366,644,35,no,52.85
176,212,32,no,48.32
460,464,27,no,40.77
566,186,23,yes,34.73
236,284,24,no,36.24
262,90,29,no,43.79
76,456,29,no,43.79
722,102,25,yes,37.75
654,310,18,yes,27.18
46,366,49,no,73.99
188,104,33,no,49.83
678,646,32,no,48.32
746,214,31,yes,46.81
228,50,29,no,43.79
704,500,27,no,40.77
606,590,34,no,51.34
570,240,31,no,46.81
670,272,29,no,43.79
316,504,27,no,40.77
442,490,24,no,36.24
646,568,22,no,33.22
502,504,30,no,45.3
372,240,30,no,45.3
742,518,29,no,43.79
56,624,27,no,40.77
60,52,25,no,37.75
60,594,21,no,31.71
642,136,17,no,25.67
276,202,30,no,45.3
770,254,29,no,43.79
824,110,28,no,42.28
298,424,25,no,37.75
194,626,23,no,34.73
698,128,27,no,40.77
258,304,24,no,36.24
292,274,21,no,31.71
270,464,33,no,49.83
116,44,25,no,37.75
786,268,25,no,37.75
534,210,23,no,34.73
124,120,33,no,49.83
188,40,32,no,48.32
222,70,29,no,43.79
350,354,29,no,43.79
134,218,27,no,40.77
514,574,24,no,36.24
352,522,22,no,33.22
254,386,38,no,57.38
742,376,36,no,54.36
338,250,32,no,48.32
186,140,25,no,37.75
748,588,21,no,31.71
106,258,21,no,31.71
72,540,20,no,30.2
338,600,19,no,28.69
100,612,19,no,28.69
436,510,22,no,33.22
194,524,21,no,31.71
