x,y,r (pixel),is_circle,r (um)
692,98,58,yes,58
300,288,66,yes,66
780,336,47,yes,47
152,414,51,yes,51
274,554,123,no,123
82,52,63,yes,63
292,534,90,no,90
396,204,48,yes,48
680,310,56,yes,56
488,152,47,yes,47
508,392,121,no,121
398,88,57,yes,57
178,254,89,no,89
430,312,51,yes,51
208,602,75,no,75
592,376,68,no,68
582,100,48,yes,48
318,510,57,yes,57
624,194,43,yes,43
330,494,76,no,76
362,388,41,yes,41
172,126,41,yes,41
196,234,52,yes,52
574,270,38,yes,38
764,148,32,yes,32
794,66,46,yes,46
766,240,46,yes,46
432,466,51,yes,51
212,502,42,yes,42
488,402,53,no,53
428,490,99,no,99
244,616,73,no,73
126,302,38,yes,38
496,244,37,yes,37
306,190,27,yes,27
570,380,94,no,94
64,576,62,yes,62
504,10,60,yes,60
46,252,45,yes,45
260,396,44,yes,44
654,290,94,no,94
150,394,72,no,72
704,182,29,yes,29
722,100,99,no,99
568,532,37,yes,37
172,228,77,no,77
550,456,38,yes,38
84,562,71,no,71
46,368,55,yes,55
134,498,29,yes,29
676,408,27,yes,27
324,278,91,no,91
602,358,63,no,63
784,226,62,no,62
414,578,60,yes,60
506,178,79,no,79
684,278,73,no,73
122,424,79,no,79
496,520,34,yes,34
84,170,48,yes,48
416,444,76,no,76
668,328,73,no,73
296,118,40,yes,40
70,354,63,no,63
456,320,77,no,77
224,482,66,no,66
620,6,42,yes,42
650,208,70,no,70
208,216,56,no,56
440,440,63,no,63
58,236,63,no,63
410,556,80,no,80
582,252,59,no,59
238,62,36,yes,36
512,152,81,no,81
404,70,68,no,68
240,592,57,no,57
212,316,50,no,50
220,522,75,no,75
246,412,64,no,64
624,432,22,yes,22
486,132,68,no,68
430,558,67,no,67
638,172,48,no,48
704,294,79,no,79
336,474,56,no,56
190,330,42,no,42
174,396,63,no,63
140,652,50,no,50
312,26,41,yes,41
600,82,56,no,56
348,686,41,yes,41
372,86,73,no,73
560,98,69,no,69
318,614,26,yes,26
40,574,70,no,70
454,298,71,no,71
440,576,65,no,65
108,156,50,no,50
710,76,58,no,58
178,556,56,no,56
160,572,36,yes,36
84,456,30,yes,30
452,466,66,no,66
776,74,62,no,62
546,436,58,no,58
238,154,28,yes,28
582,350,56,no,56
548,206,32,no,32
4,148,43,yes,43
844,144,39,yes,39
506,132,56,no,56
468,152,54,no,54
508,308,27,yes,27
516,248,51,no,51
128,220,43,no,43
490,500,56,no,56
410,186,49,no,49
194,108,60,no,60
144,290,48,no,48
716,314,66,no,66
508,224,36,no,36
312,100,44,no,44
312,484,33,no,33
422,378,21,yes,21
676,112,54,no,54
472,80,20,yes,20
560,186,41,no,41
724,8,34,yes,34
640,390,14,yes,14
658,310,53,no,53
462,204,16,yes,16
492,452,17,yes,17
400,108,52,no,52
350,574,19,yes,19
318,304,43,no,43
500,374,40,no,40
444,672,36,yes,36
692,328,35,no,35
632,252,17,yes,17
84,588,37,no,37
318,432,17,yes,17
146,480,40,no,40
246,566,34,no,34
256,456,29,no,29
392,512,16,yes,16
174,530,40,no,40
364,244,27,no,27
620,320,27,no,27
438,330,45,no,45
428,290,35,no,35
728,278,28,no,28
758,220,27,no,27
800,186,22,no,22
266,224,20,yes,20
556,256,36,no,36
480,382,32,no,32
212,436,24,no,24
246,194,14,yes,14
